Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
AACBU,-0.00656,2e-06,10.6,265092743.27755,C
AACG,-0.009709,0.002085,1.02,30819288.079017,D
AAL,-0.045289,0.001458,13.07,7382205327.648964,B
AAME,-0.022388,0.001448,2.62,53440735.025723,D
AAOI,0.907382,0.022252,84.23,7187503066.553146,B
AAON,0.123446,0.000401,101.2,7210736492.616425,B
AAPG,0.040138,0.000915,24.1,2164754070.021423,B
AAPL,-0.020676,0.000414,264.18,3784127902367.3706,A
AARD,-0.060902,0.002268,12.49,127373639.123539,D
ABAT,-0.053846,0.004557,3.69,443860140.577073,C
ABCL,0.031429,0.004576,3.61,1045903694.605819,B
ABEO,-0.009671,0.000581,5.12,262828095.681909,C
ABLV,-0.04824,0.001423,0.73,35165625.076325,D
ABNB,0.028939,0.000965,135.11,79873242062.94003,A
ABOS,0.212355,0.002766,3.14,200498033.283961,C
ABP,-0.932292,0.04183,0.13,296074.294876,D
ABSI,-0.092715,0.002492,2.74,357884260.988656,C
ABTC,-0.286713,0.002926,1.02,1011089474.422157,C
ABTS,-0.273504,0.051501,2.55,8886475.889043,D
ABUS,0.061503,0.00134,4.66,871227837.361185,C
ABVC,-0.306878,0.002352,1.31,32563460.071136,D
ABVE,-0.311295,0.003339,1.25,56311034.020509,D
ABVX,0.088103,0.000647,121.28,8645010564.026306,A
ACAD,-0.060084,0.000739,24.56,3778160598.064587,B
ACB,-0.020408,0.002121,3.84,199050077.699177,C
ACCL,-0.105263,0.000666,1.36,22459339.199555,D
ACDC,-0.090074,0.001343,4.95,976704405.44922,C
ACET,-0.091479,0.002496,7.25,69983999.633789,D
ACFN,0.189052,0.003715,21.07,48965436.389122,D
ACGL,0.03557,0.000284,100.15,35250867198.19604,A
ACHC,0.774413,0.003494,23.44,2362465804.127203,B
ACHV,0.060465,0.001248,4.56,227309127.744642,C
ACIC,0.015152,0.000289,11.39,567140467.840746,C
ACIU,-0.103976,0.002166,2.93,280673996.162415,C
ACIW,-0.086766,0.001421,39.68,4386394619.200092,B
ACLS,-0.069812,0.002674,82.61,2526315279.977531,B
ACLX,0.637973,0.034117,113.79,6685997013.039734,B
ACMR,-0.089005,0.004981,55.68,2952483402.129181,B
ACNB,-0.013899,0.000284,50.4,493278570.0,C
ACNT,0.043796,0.000185,17.16,124378802.146912,D
ACOG,0.214575,0.003978,6.0,125886787.120605,D
ACON,-0.048611,0.003233,2.74,3447793.149889,D
ACRS,-0.204986,0.001516,2.87,370526975.011332,C
ACRV,-0.165746,0.004175,1.51,48910443.795334,D
ACT,0.039519,0.000687,41.84,5983760427.622589,B
ACTG,0.029484,0.000398,4.19,393558334.880657,C
ACTU,-0.256461,0.001875,3.74,66475915.641678,D
ACXP,-0.369748,0.002007,1.5,3438068.010718,D
ADAG,0.006803,0.003799,2.96,133852802.754691,D
ADAM,0.035176,0.000243,8.24,722889963.882067,C
ADBE,-0.105563,0.000731,262.41,118723329956.05469,A
ADEA,0.101118,0.00118,20.69,2175967587.07461,B
ADGM,-0.029126,0.000255,1.0,20692505.308603,D
ADI,0.122862,0.000263,354.6794,154179753630.26532,A
ADIL,-0.518095,0.004466,2.53,2033441.147686,D
ADMA,-0.110286,0.000739,15.57,3665269800.405464,B
ADP,-0.134109,0.000541,214.36,91502486064.26329,A
ADPT,-0.128874,0.00088,16.02,2288165943.594626,B
ADSE,0.074681,0.000999,11.8,693212824.025551,C
ADSK,-0.037954,0.000945,245.87,55329877929.68751,A
ADTN,0.088581,0.000943,10.2,773526065.397686,C
ADTX,-0.426565,0.002494,3.6576,826025.024493,D
ADUR,-0.134078,0.002902,10.85,377295527.943123,C
ADUS,-0.016996,0.001063,103.53,1911270732.956017,B
ADV,-0.542105,0.005754,0.522,209604916.914965,C
ADVB,-0.284859,0.003079,4.062,6085830.612053,D
ADXN,-0.049608,0.001476,7.28,8833425.753994,D
AEAQ,0.00101,2e-06,9.91,309672407.270008,C
AEBI,-0.046,0.000801,14.42,1032512859.25355,C
AEC,-0.033755,0.002446,6.87,105284622.987957,D
AEHL,-0.268293,0.091565,3.6,3646572.992944,D
AEHR,0.436301,0.010358,37.43,1090639667.313446,B
AEI,-0.267559,0.002963,2.19,60303143.394853,D
AEIS,0.282069,0.000905,335.57,10977232826.117249,A
AEMD,-0.1625,0.001091,2.01,2235687.062709,D
AENT,-0.298314,0.004896,5.41,358739882.856131,C
AEP,0.139847,0.000167,133.82,71323399803.58484,A
AERT,-0.375494,0.009096,0.316,14661236.856523,D
AEVA,0.039185,0.003195,13.26,851332300.943733,C
AEYE,-0.247241,0.001911,6.82,75877751.528064,D
AFBI,-0.021151,0.000103,19.9,123043684.555508,D
AFCG,0.017857,0.001124,2.28,59197697.45426,D
AFJK,-0.398884,0.003232,32.31,184019320.770641,C
AFRI,-0.036889,0.000138,9.66,260407428.449715,C
AFRM,-0.242136,0.001952,46.98,17221820910.843258,A
AFYA,-0.111692,0.000403,13.6,1258640636.722512,B
AGAE,0.187279,0.007517,0.336,11518372.710824,D
AGCC,0.374227,0.0055,13.33,359963427.131653,C
AGEN,0.164336,0.001109,3.33,106979380.098696,D
AGH,0.153846,0.001615,4.05,73474731.083056,D
AGIO,0.073509,0.000343,30.23,1609526924.607948,B
AGMH,-0.190476,0.002261,1.36,2873665.0,D
AGNC,0.014305,0.000114,11.21,11797320309.4662,A
AGPU,-0.329768,0.008994,1.88,6210136.255634,D
AGRZ,-0.337931,0.007159,0.384,7910822.231694,D
AGYS,-0.191373,0.001044,72.17,2177264786.886131,B
AHCO,-0.094059,0.00172,9.15,1289831572.731567,B
AHG,-0.030612,0.002496,1.425,1156550659.375419,B
AHMA,-0.786333,0.036663,6.41,176863744.330406,C
AIFF,-0.186047,0.001965,0.7,26296052.03889,D
AIFU,-0.049261,0.002482,1.93,220297459.935631,C
AIHS,0.106383,0.000573,1.3,6562784.420782,D
AIIO,-0.274112,0.006809,0.143,52589480.20181,D
AIMD,-0.280702,0.003474,1.64,9636091.466704,D
AIOT,-0.302734,0.003022,3.57,454759283.102609,C
AIP,0.119974,0.00178,16.99,660184650.53326,C
AIRE,-0.171875,0.003662,0.318,37391834.795576,D
AIRG,-0.016393,0.002702,4.2,49387338.458507,D
AIRJ,-0.006154,0.002453,3.23,237825770.653822,C
AIRO,-0.024876,0.003786,9.8,315542644.331707,C
AIRS,-0.387597,0.005394,1.58,130492634.941018,D
AIRT,-0.106754,0.000718,20.5,56485154.069025,D
