Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap
AACB,-0.000261,0.000004,10.341000,286159504.222870
AACBU,-0.000364,0.000002,10.600000,265092743.277550
AACG,0.000474,0.002085,1.020000,30898719.155766
AAL,-0.001883,0.001458,13.070000,7570392030.199482
AAME,-0.000567,0.001448,2.620000,54766556.012861
AAOI,0.044952,0.022252,84.230000,8325636748.768707
AAON,0.006675,0.000401,101.200000,7381351374.883575
AAPG,0.002623,0.000915,24.100000,2132011604.967865
AAPL,-0.000963,0.000414,264.180000,3824694321661.804199
AARD,-0.002425,0.002268,12.490000,133252422.148247
ABAT,-0.000974,0.004557,3.690000,443860140.577073
ABCL,0.003888,0.004576,3.610000,1065609143.607801
ABEO,-0.000268,0.000581,5.120000,280169340.504473
ABLV,-0.002063,0.001423,0.730000,34291422.642062
ABNB,0.002046,0.000965,135.110000,80370839745.822876
ABOS,0.012055,0.002766,3.140000,192320621.486634
ABP,-0.116021,0.041830,0.130000,296074.294876
ABSI,-0.004171,0.002492,2.740000,378184416.239601
ABTC,-0.017252,0.002926,1.020000,1020272739.623811
ABTS,-0.000430,0.051501,2.550000,9012973.648406
ABUS,0.003960,0.001340,4.660000,909692604.078290
ABVC,-0.018988,0.002352,1.310000,35503890.194688
ABVE,-0.019023,0.003339,1.250000,57334870.004102
ABVX,0.005006,0.000647,121.280000,8667150803.342102
ACAD,-0.003088,0.000739,24.560000,3851473333.685413
ACB,-0.000112,0.002121,3.840000,199900725.008232
ACCL,-0.005841,0.000666,1.360000,22180341.465628
ACDC,-0.004600,0.001343,4.950000,984843622.483596
ACET,-0.004110,0.002496,7.250000,73727998.352051
ACFN,0.011336,0.003715,21.070000,48915347.499790
ACGL,0.002080,0.000284,100.150000,34667039215.076729
ACHC,0.033870,0.003494,23.440000,2287774138.123598
ACHV,0.003852,0.001248,4.560000,224913594.223211
ACIC,0.000972,0.000289,11.390000,562020086.947514
ACIU,-0.005048,0.002166,2.930000,289728011.512756
ACIW,-0.004346,0.001421,39.680000,4397734362.890018
ACLS,-0.002662,0.002674,82.610000,2585295582.895660
ACLX,0.038786,0.034117,113.790000,6695646235.559601
ACMR,-0.002786,0.004981,55.680000,3072765019.500000
ACNB,-0.000643,0.000284,50.400000,489020798.664597
ACNT,0.002471,0.000185,17.160000,123909800.357819
ACOG,0.012708,0.003978,6.000000,130343916.986814
ACON,-0.001275,0.003233,2.740000,3447793.149889
ACRS,-0.011935,0.001516,2.870000,411696658.147780
ACRV,-0.007982,0.004175,1.510000,50803753.311400
ACT,0.002467,0.000687,41.840000,6029967029.316498
ACTG,0.001802,0.000398,4.190000,396452166.458850
ACTU,-0.015446,0.001875,3.740000,68800251.766663
ACXP,-0.024359,0.002007,1.500000,4983925.212717
ADAG,0.002138,0.003799,2.960000,141393810.000000
ADAM,0.002037,0.000243,8.240000,729675522.200456
ADBE,-0.005826,0.000731,262.410000,118149850000.000000
ADEA,0.005918,0.001180,20.690000,2446457683.649929
ADGM,-0.001521,0.000255,1.000000,20143952.576993
ADI,0.006582,0.000263,354.679400,155864063931.438721
ADIL,-0.037368,0.004466,2.530000,1866765.541717
ADMA,-0.006117,0.000739,15.570000,3765296672.495567
ADP,-0.007710,0.000541,214.360000,90155671006.175537
ADPT,-0.007214,0.000880,16.020000,2301254382.153557
ADSE,0.004480,0.000999,11.800000,690807924.879044
ADSK,-0.001699,0.000945,245.870000,55252500000.000000
ADTN,0.005176,0.000943,10.200000,778768908.866549
ADTX,-0.029221,0.002494,3.657600,757026.839055
ADUR,-0.006598,0.002902,10.850000,382137095.696096
ADUS,-0.000429,0.001063,103.530000,1905252351.394295
ADV,-0.039562,0.005754,0.522000,208065629.116586
ADVB,-0.016945,0.003079,4.062000,6754452.939735
ADXN,-0.002111,0.001476,7.280000,8833425.753994
AEAQ,0.000057,0.000002,9.910000,309672407.270008
AEBI,-0.002237,0.000801,14.420000,1043340661.947870
AEC,-0.000728,0.002446,6.870000,108742242.690511
AEHL,0.015765,0.091565,3.600000,3718514.174304
AEHR,0.025071,0.010358,37.430000,1251433212.813446
AEI,-0.015736,0.002963,2.190000,65749883.176177
AEIS,0.014308,0.000905,335.570000,11503859597.444763
AEMD,-0.009295,0.001091,2.010000,2314593.587458
AENT,-0.017113,0.004896,5.410000,352625004.287739
AEP,0.007377,0.000167,133.820000,71301768975.936935
AERT,-0.021318,0.009096,0.316000,14826929.479563
AEVA,0.003625,0.003195,13.260000,884075855.387466
AEYE,-0.014735,0.001911,6.820000,72773097.278064
AFBI,-0.001138,0.000103,19.900000,120268258.500000
AFCG,0.001515,0.001124,2.280000,58406891.931913
AFJK,-0.026290,0.003232,32.310000,168959860.735256
AFRI,-0.002021,0.000138,9.660000,261268268.342600
AFRM,-0.014326,0.001952,46.980000,16928683182.162697
AFYA,-0.006363,0.000403,13.600000,1271354210.000000
AGAE,0.012888,0.007517,0.336000,11746458.626136
AGCC,0.020365,0.005500,13.330000,364932552.131653
AGEN,0.009011,0.001109,3.330000,113846301.746739
AGH,0.008744,0.001615,4.050000,82282665.402409
AGIO,0.004110,0.000343,30.230000,1670462837.130684
AGMH,-0.010574,0.002261,1.360000,2735729.211546
AGNC,0.000843,0.000114,11.210000,11691986799.742489
AGPU,-0.017586,0.008994,1.880000,6006525.025274
AGRZ,-0.019129,0.007159,0.384000,10102011.516621
AGYS,-0.011225,0.001044,72.170000,2136788842.582481
AHCO,-0.004611,0.001720,9.150000,1313616691.455261
AHG,-0.000561,0.002496,1.425000,1267922198.300335
AHMA,-0.045613,0.036663,6.410000,182362881.803513
AIFF,-0.010421,0.001965,0.700000,24092869.735558
AIFU,-0.001627,0.002482,1.930000,212181245.365864
AIHS,0.005895,0.000573,1.300000,6517209.030950
AIIO,-0.014489,0.006809,0.143000,54404185.164936
AIMD,-0.016500,0.003474,1.640000,10194705.766368
AIOT,-0.018365,0.003022,3.570000,453417811.611938
AIP,0.007129,0.001780,16.990000,661548656.222192
AIRE,-0.008713,0.003662,0.318000,37653312.779108
AIRG,0.000329,0.002702,4.200000,48311099.263831
AIRJ,0.000810,0.002453,3.230000,238842127.211776
AIRO,0.000380,0.003786,9.800000,329316348.009758
AIRS,-0.024360,0.005394,1.580000,128307361.018097
AIRT,-0.005900,0.000718,20.500000,56755419.000000
AISP,-0.003262,0.003920,2.730000,91762995.162083
AIXC,-0.018811,0.007863,1.140000,6218262.941460
AIXI,0.006783,0.006721,0.232000,2834086.995574
AKAM,0.002232,0.002528,98.390000,14793076218.318283
AKAN,-0.003236,0.006510,1.040000,1809413.889006
AKBA,-0.001569,0.002709,1.310000,360297584.119087
AKTS,-0.004426,0.000934,20.130000,1052253211.414528
AKTX,0.000402,0.001334,0.236000,8977820.339264
ALAB,-0.010211,0.007281,118.830000,20800211747.146561
ALAR,-0.006228,0.002059,6.510000,54328575.000000
ALBT,0.067665,0.088175,1.490000,4964785.531120
ALCO,-0.000202,0.000113,41.280000,298302921.150131
ALCY,0.000574,0.000011,11.790000,49612838.599476
ALDF,-0.000208,0.000004,10.550000,315109663.396910
ALDX,0.000783,0.001036,5.460000,316450175.302567
ALEC,0.012036,0.001892,2.430000,241142233.170002
ALF,0.000313,0.000005,10.770000,385609358.549118
ALGM,-0.000707,0.001563,36.470000,6090510698.987999
ALGN,0.008998,0.001349,190.100000,12562348531.379944
ALGS,-0.005382,0.003078,7.030000,42521250.681038
ALGT,0.007503,0.002443,102.150000,1524528580.960739
ALHC,-0.008700,0.000789,19.220000,3722281962.180731
ALIS,-0.000055,0.000000,9.980000,84106446.142197
ALKS,-0.007970,0.000648,30.100000,4739524211.960667
ALKT,-0.009265,0.002369,16.545000,1857592520.000000
ALLO,0.024780,0.005545,2.780000,561825360.000000
ALLR,0.002521,0.004706,0.970000,19940415.353360
ALLT,-0.021007,0.006155,6.340000,341400602.036453
ALM,0.029118,0.004260,18.390000,5052830993.785480
ALMS,0.006890,0.000826,29.690000,3346703855.546322
ALMU,0.000843,0.004733,15.470000,277959305.514736
ALNT,0.002584,0.000730,65.840000,1032706155.076862
ALNY,-0.000670,0.000745,332.920000,42915522681.279541
ALOT,0.000531,0.000342,9.080000,66339715.645210
ALPS,-0.000746,0.001506,0.960000,156416306.983271
ALRM,-0.000417,0.000699,47.850000,2473034675.312424
ALRS,-0.002594,0.000366,23.840000,601245482.807955
ALT,-0.013732,0.000452,4.310000,485898304.171610
ALTI,-0.003222,0.000858,4.430000,616863625.147066
ALTO,-0.005867,0.001646,2.280000,338227953.252536
ALTS,-0.014967,0.009167,1.390000,179401550.658113
ALVO,-0.015523,0.000689,3.990000,1252636633.136680
