f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.000196,1e-06,0.0,0.0,0.0,0.0,NSGA2,884,0,"PACH,LOKV"
-0.006229,8.999999999999999e-05,0.0,0.0,0.0,0.0,NSGA2,884,0,"CSX,PACH"
-0.014728,0.000117,0.0,0.0,0.0,0.0,NSGA2,884,0,"PACH,JL"
-0.023375,0.001887,0.04,0.0,0.0,0.0,NSGA2,884,0,"NATR,PCVX,BKR,HON,GO,PACH"
-0.03293,0.002764,0.04,0.0,0.0,0.0,NSGA2,884,0,"NATR,PCVX,BKR,HON,GO,APA,PACH,CFLT"
-0.036861,0.003554,0.01,0.0,0.0,0.0,NSGA2,884,0,"BKR,GO,HELE,APA,FNWD,PACH,JL"
-0.043348,0.003628,0.04,0.0,0.01,0.0,NSGA2,884,0,"NATR,PCVX,BKR,HON,GO,APA,PACH,MLAB"
-0.050128,0.004483,0.04,0.0,0.01,0.0,NSGA2,884,0,"NATR,PCVX,BKR,HON,GO,APA,PACH,PTEN,MLAB"
-0.055563,0.004954,0.01,0.0,0.0,0.0,NSGA2,884,0,"BKR,GO,HELE,APA,ARTV,PACH,JL"
-0.06211,0.007061,0.01,0.01,0.0,0.0,NSGA2,884,0,"NATR,PCVX,BKR,GO,BDSX,PACH,AUGO"
-0.072331,0.008764,0.0,0.02,0.01,0.0,NSGA2,884,0,"APA,BDSX,BLFS,FBGL,LOCO,PACH,BCPC,AVBH"
-0.081257,0.009164,0.0,0.02,0.01,0.0,NSGA2,884,0,"APA,BDSX,BLFS,FBGL,PACH,BCPC,MLAB"
-0.1137249999999999,0.009597,0.03,0.03,0.02,0.0,NSGA2,884,0,"NATR,PCVX,BKR,GO,APA,ARTV,PACH,BCPC,PROV,MLAB,JL,FANG,ECPG,ATLO,AUGO"
-0.119377,0.011864,0.01,0.03,0.01,0.0,NSGA2,884,0,"CSX,GO,APA,BDSX,BLFS,FBGL,BLBD,LOCO,IBAC,PACH,BCPC,JL,ECPG"
-0.128213,0.011923,0.03,0.03,0.02,0.0,NSGA2,884,0,"NATR,PCVX,BKR,GO,APA,ARTV,PACH,PRQR,BCPC,PROV,MLAB,AUTL,JL,FANG,ECPG,ATLO,AUGO"
-0.142092,0.012837,0.03,0.03,0.02,0.0,NSGA2,884,0,"NATR,PCVX,BKR,GO,APA,ARTV,BDSX,BLFS,PACH,BCPC,PROV,MLAB,JL,FANG,ECPG,ATLO,AUGO"
-0.148251,0.013723,0.03,0.03,0.02,0.0,NSGA2,884,0,"NATR,PCVX,BKR,GO,APA,ARTV,BDSX,BLFS,KIDS,PACH,BCPC,PROV,MLAB,JL,FANG,ECPG,ATLO,AUGO"
