f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
0.04292,0.027616,0.27,0.02,0.03,0.0,RANDOM,884,0,"AEC,ASND,DNLI,NBN,ARGX,PPSI,BSAA,ORRF,KFFB,CDNS,KNSA,CCD,RILY,HEPS,MPWR,MRM,BTOG,BIXI,PCAR,EBON,EXC,DRUG,DERM,GPAT,BSBK,AVBH,TILE,MDLN,CHRD,PGNY"
0.020992,0.030956,0.07,0.03,0.04,0.0,RANDOM,884,0,"ASND,NTNX,DNLI,CSX,FFBC,NWE,CRNX,NATH,AGNC,FINW,AVXL,FUTU,PENG,CAI,PCAR,MFIN,NTWO,IAC,CNXN,MLAB,NXT,ESCA,NNNN,PTLE,MVST,NOEM,BCML,ALTI,HBIO,BBSI"
0.005574,0.03443,0.05,0.03,0.03,0.0,RANDOM,884,0,"EVTV,CLPT,MBCN,LUNG,MASS,KSPI,PENG,CWBC,CBLL,RGS,EZGO,AXIN,NXST,CARL,ADP,PACH,CYN,INBK,FWONA,GPAT,IPHA,CTRN,INBX,ECX,MESH,ATLO,BLRX,MNDR,ISSC,ABVX"
-0.005975,0.035631,0.16,0.05,0.02,0.01,RANDOM,884,0,"BRCB,FIBK,KE,PRPO,BMM,ELVN,MPWR,BZ,ELOG,LOCO,CCSI,HBCP,IRMD,CG,IAC,OZK,LFUS,BKHA,PUBM,EMBC,WHF,NOEM,APGE,MPB,DTIL,IRTC,GRFS,INVE,AVBP,FITB"
-0.015702,0.035697,0.68,0.01,0.01,0.01,RANDOM,884,0,"AMRX,LOAN,REG,ETS,IMOS,INTU,DXR,KNSA,MBCN,BKNG,PSHG,PLTK,CHSN,REBN,ASPC,BCAL,WFCF,FACT,FGBI,CGTX,AUTL,LRCX,FCNCA,CGC,FEIM,AMCX,CRIS,HDL,IMMR,EXTR"
-0.016256,0.036122,0.05,0.03,0.03,0.0,RANDOM,884,0,"PAHC,PPSI,CSX,NBP,LQDT,IMOS,ORRF,MASS,MGTX,DLTR,ROCK,BIXI,ARLP,AMD,FMBH,ATRC,RRBI,SOFI,GTX,MBIO,FWONA,OCS,RDZN,AKTX,NBTX,MATW,OAKU,BACC,AVBP,CHRS"
-0.018868,0.036578,0.03,0.0,0.03,0.01,RANDOM,884,0,"ASND,NBN,PRME,DXR,EURK,AUDC,FKWL,GLOO,HKPD,KEQU,EXOZ,REBN,LOCO,LENZ,CCSI,EXC,DTI,CELH,MMLP,ATHE,OCS,HFWA,BBCP,GAIA,AMTX,MBBC,MESH,OMEX,ATER,ISSC"
-0.025779,0.036722,0.08,0.04,0.02,0.01,RANDOM,884,0,"DCOM,EWCZ,ACHV,BOLD,CDNS,JJSF,SATS,MNDO,AGNC,COLAU,ADBE,PTLO,RGS,PGC,ORIQ,BLMN,PRVA,ASRV,HTBK,ORLY,DRUG,GERN,OTTR,MBIO,AVBH,NOEM,ASO,BCML,HQY,NCMI"
-0.041854,0.039814,0.1,0.03,0.01,0.01,RANDOM,884,0,"CVBF,REG,CRAI,ORRF,HBAN,SATS,ICCM,GNTX,ARTV,ONB,IBAC,CZWI,PCAR,CCSI,CCRN,NSPR,IAC,HAVAU,BNTX,OTEX,BCAL,EOLS,PLTR,EGAN,MDXH,PRAX,NTAP,SPRB,CBUS,MRVI"
-0.092903,0.042085,0.08,0.03,0.01,0.0,RANDOM,884,0,"ASND,BCAR,CSX,NWE,IMOS,MAZE,HON,HDSN,MNDO,BPOP,FCEL,NCEW,FBLG,POLE,CAPT,BLMN,EXC,BCAL,CAMP,IIIV,BSBK,ATHE,EGAN,SEV,FRME,TILE,ASO,ELTK,EBAY,MRVI"
-0.119547,0.048291,0.21,0.01,0.02,0.01,RANDOM,884,0,"AEC,KFFB,FUFU,RDNW,MNDO,NRIX,FMAO,KINS,MELI,DLTR,CPIX,CWBC,LINE,KMDA,LAND,ACFN,CG,HIND,HSIC,FDSB,FTDR,CRWS,OVBC,AMSC,EVLV,MBBC,CRIS,DRTS,EBAY,CRBU"
-0.127702,0.062655,0.07,0.02,0.01,0.0,RANDOM,884,0,"BCAR,ACHV,BRKR,CTXR,MSFT,BSAA,HELE,CSAI,PFG,NECB,PPTA,FBIO,CLIR,FBGL,USEG,AVT,PRVA,MFIN,NSPR,EBON,LGCL,IMUX,CAMP,FGBI,SEV,BBCP,LRCX,CRIS,HDL,MNDR"
-0.138508,0.06546,0.08,0.02,0.01,0.01,RANDOM,884,0,"CLBT,CSGS,LOAN,EWCZ,UROY,ADMA,MSFT,IMOS,FGMC,RDNW,NVTS,BDSX,PLTK,KIDS,FBGL,EVOX,AMZN,ARTW,LAFA,DAKT,HIND,IRD,MITK,PLTR,ABTC,CFLT,BBCP,MDXH,MPB,MKZR"
