f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-3.702548,6.858967000000002,0.34,0.29,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,REG,PRME,IMOS,RBKB,HMR,RDNW,PIII,PAVM,FCEL,PPTA,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,CLDX,APYX,IBRX,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,LOCO,MLEC,KURA,PCAR,ELTX,ALM,ACFN,ALRS,IMUX,HIND,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,BDMD,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,FIEE,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CEPT,IDCC,CNTY,ITRI,AUR,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,ACLX,IOVA,MLAC,INCY,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,LEGH,BAFN,COOT,RCKY,BRLS,OPCH,CZR,AMLX,LBTYK,FORM,DTSQ,NVCR,JG,AFBI,FIVN,CRDL,GANX,LMB,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,HAS,PDLB,MRX,AREC,PNTG,OACC,LCFY,HPK,PHIO,PEPG,LOT,HUHU,ALKT,BNZI,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,COLM,NBBK,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,COKE,FOSL,CABA,ETON,FRHC,FMFC,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,DDI,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB"
-3.712057,6.860975000000002,0.36,0.3,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,REG,PRME,IMOS,RBKB,RDNW,PIII,FCEL,PPTA,ODFL,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,VKTX,APYX,IBRX,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,LOCO,MLEC,KURA,PCAR,ELTX,ALM,ACFN,ALRS,IMUX,HIND,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,BDMD,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,FIEE,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CEPT,CNTY,ITRI,AUR,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,ACLX,IOVA,MLAC,INCY,LGN,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,BAFN,COOT,RCKY,BRLS,OPCH,CZR,AMLX,LBTYK,FORM,NVCR,JG,AFBI,FIVN,CRDL,GANX,LMB,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,CTNM,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,MRX,AREC,PNTG,LCFY,HPK,PHIO,PEPG,ADEA,LOT,HUHU,ALKT,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,COLM,GEMI,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,LMRI,ERIC,IESC,COKE,FOSL,CABA,ETON,FRHC,FMFC,LBTYA,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,DDI,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB,FEMY"
-3.725681,6.873220000000001,0.38,0.28,0.1,0.05,NSGA2,2653,0,"JLHL,LGO,REG,PRME,IMOS,RBKB,HMR,RDNW,PIII,PAVM,FCEL,PPTA,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,CLDX,APYX,IBRX,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,LOCO,MLEC,KURA,PCAR,ELTX,ALM,ACFN,ALRS,IMUX,HIND,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,BDMD,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,FIEE,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CEPT,IDCC,CNTY,ITRI,AUR,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,ACLX,IOVA,MLAC,INCY,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,LEGH,BAFN,COOT,RCKY,BRLS,OPCH,CZR,DMAC,AEHR,RJET,QUIK,NMIH,MGYR,JBLU,GANX,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,AREC,PNTG,LCFY,HPK,PHIO,PEPG,LOT,HUHU,ALKT,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,ELWT,BRZE,IPSC,GLE,ALGT,BYND,SFM,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,IESC,COKE,GDC,FOSL,CABA,ETON,FRHC,FMFC,DEFT,LBTYA,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,GOAI,RLAY,HFFG,PLUR,MEHA,RLYB,FEMY"
-3.748448,6.886767000000001,0.38,0.28,0.1,0.05,NSGA2,2653,0,"JLHL,EWCZ,LGO,REG,PRME,IMOS,RBKB,HMR,RDNW,PIII,PAVM,FCEL,PPTA,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,CLDX,APYX,IBRX,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,LOCO,MLEC,KURA,PCAR,ELTX,ALM,ACFN,ALRS,IMUX,HIND,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,BDMD,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,FIEE,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CEPT,IDCC,CNTY,ITRI,AUR,CELU,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,ACLX,IOVA,MLAC,INCY,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,LEGH,BAFN,COOT,RCKY,BRLS,OPCH,CZR,DMAC,AEHR,RJET,QUIK,NMIH,MGYR,JBLU,GANX,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,AREC,PNTG,LCFY,HPK,PHIO,PEPG,LOT,HUHU,ALKT,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,ELWT,BRZE,IPSC,GLE,ALGT,BYND,SFM,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,IESC,COKE,GDC,FOSL,CABA,ETON,FRHC,FMFC,DEFT,LBTYA,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,GOAI,RLAY,HFFG,PLUR,MEHA,RLYB,FEMY"
-3.751035,6.953785000000002,0.37,0.29,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,REG,PRME,IMOS,RBKB,RDNW,PIII,FCEL,PPTA,ODFL,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,VKTX,APYX,IBRX,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,LOCO,MLEC,KURA,PCAR,ELTX,ALM,ACFN,ALRS,IMUX,HIND,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,BDMD,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,FIEE,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CEPT,CNTY,ITRI,AUR,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,ACLX,IOVA,MLAC,INCY,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,LEGH,BAFN,FIZZ,COOT,RCKY,BRLS,OPCH,CZR,MGRT,AEHR,AMLX,LBTYK,FORM,NVCR,JG,AFBI,FIVN,CRDL,DUOT,GANX,LMB,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,RYET,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,AREC,PNTG,LCFY,HPK,PHIO,PEPG,LLYVA,LOT,HUHU,ALKT,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,IESC,COKE,FOSL,CABA,ETON,FRHC,FMFC,LBTYA,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,DDI,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB,FEMY"
-3.767238,6.960986000000001,0.38,0.29,0.13,0.06,NSGA2,2653,0,"UFCS,JLHL,LGO,REG,PRME,IBIO,PCVX,IMOS,RBKB,RDNW,PIII,PAVM,FCEL,PPTA,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,CLDX,APYX,IBRX,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,LOCO,MLEC,KURA,PCAR,ELTX,ALM,ACFN,ALRS,IMUX,HIND,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,BAOS,BDMD,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,FIEE,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,IDCC,CNTY,ITRI,IPX,PRTS,PMVP,OFAL,LBRDA,EPOW,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,ACLX,IOVA,MLAC,INCY,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,LEGH,BAFN,COOT,RCKY,BRLS,OPCH,CZR,MGRT,AEHR,RJET,NMIH,MGYR,RKLB,CCBG,MCGA,FORM,NVCR,JG,AFBI,FIVN,CRDL,DUOT,GANX,LMB,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,FLXS,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,GLAD,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,AREC,PNTG,LCFY,HPK,PHIO,PEPG,LLYVA,LOT,HUHU,ALKT,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,HIT,ELWT,BRZE,IPSC,GLE,ALGT,BYND,REYN,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,IESC,COKE,FOSL,CABA,ETON,FRHC,FMFC,HST,NERV,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB,FEMY"
-3.810438,7.049750000000001,0.32,0.29,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,REG,PRME,IMOS,RBKB,HMR,RDNW,PIII,PAVM,FCEL,PPTA,ODFL,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,VKTX,APYX,IBRX,COCO,PENG,BLFS,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,MLEC,KURA,ELTX,CHCI,EXE,ALM,ACFN,ALRS,IMUX,HIND,HSIC,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,IMDX,BDMD,CGC,NBTX,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,RLMD,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CNTY,AUR,NCI,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,IOVA,INCY,LGN,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,ORIQU,LEGH,CERS,BAFN,RCKY,OPCH,CZR,AMLX,LBTYK,FORM,NVCR,JG,AFBI,FIVN,CRDL,GANX,LMB,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,MRX,AREC,PNTG,LCFY,HPK,PHIO,PEPG,ADEA,LOT,HUHU,ALKT,EVCM,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,COLM,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,COKE,FOSL,CABA,ETON,FRHC,FMFC,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB"
-3.817244,7.050099000000001,0.32,0.29,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,REG,PRME,IMOS,RBKB,HMR,RDNW,PIII,PAVM,FCEL,PPTA,ODFL,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,VKTX,APYX,IBRX,COCO,PENG,BLFS,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,MLEC,KURA,ELTX,CHCI,EXE,ALM,EXC,ACFN,ALRS,IMUX,HIND,HSIC,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,IMDX,BDMD,CGC,NBTX,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,RLMD,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CNTY,AUR,NCI,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,IOVA,INCY,LGN,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,ORIQU,LEGH,CERS,BAFN,RCKY,OPCH,CZR,AMLX,LBTYK,FORM,NVCR,JG,AFBI,FIVN,CRDL,GANX,LMB,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,MRX,AREC,PNTG,LCFY,HPK,PHIO,PEPG,ADEA,LOT,HUHU,ALKT,EVCM,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,COLM,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,COKE,FOSL,CABA,ETON,FRHC,FMFC,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB"
-3.824318,7.050978000000001,0.32,0.29,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,PAHC,REG,PRME,IMOS,RBKB,BKR,RDNW,PIII,FCEL,PPTA,ODFL,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,VKTX,APYX,IBRX,COCO,PENG,BLFS,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,MLEC,KURA,ELTX,CHCI,EXE,ALM,ACFN,ALRS,IMUX,HIND,HSIC,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,IMDX,BDMD,CGC,NBTX,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,RLMD,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CNTY,AUR,NCI,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,IOVA,INCY,LGN,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,ORIQU,LEGH,CERS,BAFN,RCKY,OPCH,CZR,AMLX,LBTYK,FORM,NVCR,JG,AFBI,FIVN,CRDL,GANX,LMB,NTRP,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,MRX,AREC,PNTG,LCFY,HPK,PHIO,PEPG,ADEA,LOT,HUHU,ALKT,EVCM,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,COLM,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,COKE,FOSL,CABA,ETON,FRHC,FMFC,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,RLYB"
-3.828866,7.061967000000001,0.32,0.29,0.11,0.05,NSGA2,2653,0,"JLHL,LGO,PAHC,REG,PRME,IMOS,RBKB,BKR,RDNW,PIII,FCEL,PPTA,ODFL,ARTV,CDIO,FBIO,LVLU,HURA,AVXL,VKTX,APYX,IBRX,COCO,PENG,BLFS,KINS,DLTR,ASPS,ASLE,PRLD,NCSM,JAKK,FBGL,GMGI,EVOX,CAI,ARLP,MLEC,KURA,ELTX,CHCI,EXE,ALM,ACFN,ALRS,IMUX,HIND,HSIC,NUVL,HFBL,KLTO,NMRA,LVO,IRD,GYRO,LITE,BATRK,PVLA,ATRA,MNY,BBCP,IMDX,BDMD,CGC,NBTX,CRIS,FBYD,AUGO,CRSP,ISSC,CBUS,HWKN,RLMD,JAGX,BKYI,LEGN,FLUX,FSBC,BLZR,IMMX,CNTY,AUR,NCI,IPX,PRTS,PMVP,CURX,OFAL,LBRDA,MAMA,GSIT,FATBB,MRBK,PMN,HLXC,CODA,GDEN,IOVA,INCY,LGN,EYPT,ROAD,GNTA,JF,PNRG,PHVS,GRCE,COLA,ATRO,BANX,PSKY,RELY,ORIQU,LEGH,CERS,BAFN,RCKY,OPCH,CZR,AMLX,LBTYK,FORM,NVCR,JG,AFBI,FIVN,CRDL,GANX,LMB,NTRP,ACHC,APRE,FSLY,CCIX,BATRA,DGXX,INO,RBCAA,PULM,POWI,EDSA,EDRY,BEAG,FAST,HROW,EGHT,RCKT,INNV,CCCC,GLBS,KLXE,GTIM,TW,ALGN,LMAT,CENTA,MZTI,KPTI,ALLO,PRTC,AXTI,AAL,AAOI,NCEL,DFSC,ATEX,IOBT,MGRX,ACAD,CASS,GLNG,BCRX,PDLB,MRX,AREC,PNTG,LCFY,HPK,PHIO,PEPG,ADEA,LOT,HUHU,ALKT,EVCM,LEE,AEIS,GFAI,EPRX,ASTL,BNAI,BOF,NVCT,PSIX,COLM,ELWT,BRZE,IPSC,GLE,ALGT,BYND,OPRA,ALMU,SVC,ASTE,BLBX,ATLX,HYMC,RANI,KTTA,RBB,LMRI,NEXN,ERIC,COKE,FOSL,CABA,ETON,FRHC,FMFC,HST,NERV,ENSG,EQ,MCW,SEPN,LONA,ANIK,KYMR,PTC,GLPI,AVX,IKT,COO,DLXY,CTNT,NKTR,KZIA,FRMI,BUUU,BANL,RLAY,HFFG,PLUR,MEHA,LPTH,RLYB"
