f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.475391,5.643581,0.04,0.03,0.01,0.01,RANDOM,2653,0,"RAYA,MRM,GMGI,MMYT,CGON,MNDR,LEGN,AAPL,ORKA,CERS,COHU,GSRF,LX,PGEN,NTRS,RGP,CENTA,RCAT,CERT,FTCI,ADVB,PDLB,CWCO,CLST,DRDB,KMTS,OLPX,SCYX,BETR,PELI"
-0.523004,5.645661,0.01,0.03,0.01,0.02,RANDOM,2653,0,"FIBK,CTSH,PLTK,NCSM,GMGI,NSPR,DTI,MVBF,CFLT,EVLV,HQY,CFBK,MNDR,RLMD,AVPT,RDCM,CMMB,PSEC,HYNE,OPEN,MIDD,FAST,DARE,MDBH,RMBI,MSS,HTLD,FSUN,AHG,RDHL"
-0.532494,5.646913,0.03,0.02,0.01,0.02,RANDOM,2653,0,"CSPI,GEG,GLOO,ARBK,GMGI,AIFF,RCEL,CNXN,CMRC,QNRX,NWL,AUR,CCG,MRBK,CTOR,IHRT,JOYY,ARKR,PECO,JG,BULL,MFIC,CWCO,DSGN,OSUR,LYTS,FORR,PFX,COO,NVDA"
-0.58892,5.652603,0.01,0.04,0.01,0.01,RANDOM,2653,0,"DCOM,GNTX,APPN,GMGI,FENC,CLMT,OTEX,EDTK,CCEC,CRBU,IVA,ONCH,FSTR,CHCO,IPAR,INTC,GANX,OCC,CTNM,RDVT,DRIO,HRTX,ADVB,LIDR,SIMA,MRNA,ARAY,FRD,RIBB,ALOT"
-0.589099,5.653421,0.24,0.08,0.01,0.01,RANDOM,2653,0,"BRCB,PPSI,CLPT,MBCN,ARTV,GMGI,HCMA,HQY,IPEX,MRVI,DTST,MSAI,JAZZ,GOOG,WAY,MBAV,LMAT,ANSC,IDAI,TZOO,PDFS,LLYVA,AEIS,AIXC,AGEN,KMTS,GRRR,ASML,IKT,CVCO"
-0.614744,5.65532,0.16,0.05,0.02,0.01,RANDOM,2653,0,"AMSF,ICCM,MDCX,OMDA,GMGI,CLMT,MYRG,BOKF,LOKV,LNT,ATAT,PSEC,CRVS,ACOG,RAY,APRE,EDUC,NVEC,KLAC,HWBK,DARE,ITHA,IMNN,IVVD,RGNX,NGNE,OMSE,INGN,MCW,BITF"
-0.616648,5.663158,0.08,0.04,0.01,0.01,RANDOM,2653,0,"PAHC,INTR,GMGI,CHDN,PRQR,LPLA,NNNN,CGC,FITB,CNOB,NKTX,PSKY,OPCH,LBTYK,OCC,PGEN,RGP,CENTA,CNTX,PAGP,BTMD,DPZ,AGEN,CABA,LYTS,IART,OSW,DLXY,RIOT,BLKB"
-0.623307,5.672677,0.13,0.12,0.02,0.01,RANDOM,2653,0,"COGT,APPF,ARGX,DAIC,LASR,MU,GMGI,GECC,NXST,NMRA,CGON,ONMD,CTRN,ATLO,DEVS,MOLN,EYPT,BJRI,ATNI,LBRX,MYNZ,RCAT,CPZ,EXAS,DSGR,CACC,CABA,MGRC,SWKS,MBAI"
-0.626141,5.674505,0.04,0.02,0.02,0.02,RANDOM,2653,0,"NBN,NTHI,EDAP,COLAU,GMGI,BLBD,PDYN,FAT,ONEW,EGAN,CIFR,HTZ,CRSP,CHYM,JMSB,NMP,HHS,GRCE,CZR,KPRX,ABNB,GLBS,POCI,AIRG,BOF,ASTE,CHTR,LSE,HTHT,STRR"
-0.634166,5.693113,0.01,0.05,0.02,0.01,RANDOM,2653,0,"NTRB,ANY,ATLN,JCSE,LFVN,PENG,GILD,GMGI,PKBK,IRD,MYRG,BCML,BDCI,IOVA,OPCH,LNKS,HNRG,DGXX,INO,HUT,MBAV,NDLS,IDN,HBT,IPSC,HCHL,FRD,LONA,KYMR,LPTH"
-0.659887,5.699423,0.01,0.02,0.01,0.02,RANDOM,2653,0,"PMCB,CLFD,VTGN,FMAO,COLAU,GMGI,NMRA,BDMD,HERZ,CAKE,LCID,FIZZ,GELS,ICU,HKIT,FAST,HCAT,MBLY,RDI,AMIX,BEEM,ECOR,GDS,KRNT,BLBX,BLIV,CCB,PALI,CBC,BHST"
