f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-3.444358,2.233347,0.38,0.29,0.08,0.05,NSGA2,1768,8,"CLBT,JLHL,DNLI,LGO,ACHV,BMRN,PAHC,LFWD,PRME,IBIO,RBKB,LASR,CLFD,HXHX,MXL,OBIO,TWIN,NVTS,IPGP,PIII,NWPX,BMM,BRID,PPTA,ELVN,APA,ARTV,CDIO,FBIO,PSHG,PENN,HURA,BDSX,KEQU,NTCT,IBRX,SLAB,COCO,BRBI,DLTR,ASPS,CVKD,PRLD,NCSM,MDCX,CPIX,BIXI,FDBC,FBGL,JXG,LOCO,ASMB,MLEC,USEG,CCSI,RCEL,ELTX,NXST,DOGZ,ALM,LAND,CALM,ACFN,JVA,PSNY,IMUX,BCAL,HIND,DMLP,FDSB,HFBL,KLTO,NMRA,IRD,MITK,OCGN,ALBT,BKHA,MBIO,LITE,BATRK,PVLA,FWONA,CHEC,BLIN,RXT,PUBM,GVH,OCS,AUTL,MNY,SEV,KYIV,CLYM,JL,FANG,NOEM,BDMD,MBBC,CHRD,ATOM,LOKV,AMCX,CRIS,HDL,AUGO,ISSC,HBIO,CRBU,ABVX,ESEA,CBUS,MBOT,HWKN,JAGX,MLKN,LFST,DWSN,AIXI,ENLT,RAIN,AGAE,METCB,RMCF,AUR,PLRX,BDCI,NCI,PRTS,CCG,PMVP,CEPO,CURX,INKT,KLIC,OFAL,COYA,INAC,JRVR,LWAC,EPOW,CDNL,EQIX,MKTX,FATBB,CCEP,PMN,RIME,ACLX,MOLN,IOVA,MLAC,GROW,ADTN,LGN,EYPT,LGVN,PHVS,PXS,EBMT,BSY,PSKY,MGNX,AVIR,ABOS,ENTA,INDP,CRAC,NAUT,BRLS,ICU,NWTG,AEHR,LWLG,LBTYK,ACOG,FORM,GSAT,QTTB,GLDD,AAON,ANDE,AMGN,MKLY,NEXM,GANX,ADI,GPRE,RAY,ACHC,APRE,FSLY,HNRG,NESR,RBCAA,PULM,EDSA,EDRY,HROW,PLSE,WAY,AXON,GPAC,EGHT,LXRX,GOGO,RCKT,INNV,CCCC,PROK,ESOA,GLBS,EZRA,KLXE,LIQT,MVIS,HITI,LMNR,AXG,KPTI,ALLO,AXTI"
-3.40702,2.214189,0.26,0.29,0.09,0.04,NSGA2,1768,1,"EWCZ,PAA,LGO,PAHC,PRME,IMOS,MTEK,HON,GO,IMXI,LASR,HMR,PSTV,JKHY,RDNW,PIII,PAVM,FCEL,PPTA,ELVN,ARTV,CDIO,FBLG,PSHG,HURA,BDSX,KEQU,CLDX,IBRX,SLAB,PENG,ASPS,CVKD,PRLD,MDCX,CPIX,CETY,FBGL,MLEC,RCEL,ELTX,NXST,ALM,GEHC,CARL,LAND,CALM,EXC,CNXN,JVA,IMUX,BCAL,HIND,HSIC,ARCT,FRGT,KLTO,NMRA,WFCF,CAMP,FTHM,IRD,ADSE,PRQR,ESLA,CMPX,MITK,HTCO,DERM,OCGN,ALBT,LITE,PVLA,AQMS,BOKF,FTDR,MLAB,RXT,MNY,SEV,OVBC,CLYM,CIFR,JL,AKBA,RAIL,BDMD,FIP,AKTX,LGIH,ATOM,NBTX,CRIS,DTIL,AUGO,HCM,MMTX,EBAY,ISSC,HBIO,CRBU,AVNW,CBUS,MBOT,MRVI,JAGX,NIU,LEGN,DWSN,BLFY,LNT,NWL,NKSH,ENLT,QCRH,NBIS,AGAE,AUR,PRDO,MGN,NCI,BAYA,IPX,BWIN,CMPS,PRTS,NMFC,CAPR,FER,HCSG,PMVP,BGLC,BMEA,CURX,IVA,OFAL,COYA,GOOD,VSEE,CMMB,FATBB,HVMC,PMN,BCAB,OSIS,RIME,GDEN,ACLX,IOVA,PSEC,MLAC,CTOR,LGN,EYPT,CRSR,PXS,GTEN,COCP,PSKY,AVIR,ABOS,LEGH,NAUT,COOT,RCKY,UCTT,FLEX,BRLS,INVA,JAZZ,LGCB,NWTG,AEHR,RJET,LWLG,OMH,ACOG,CGNX,FORM,PLAB,QTTB,GLDD,GANX,ADI,ESTA,ACHC,FSLY,ELVR,EDSA,ICCC,EDRY,NVEC,HROW,MIRA,ESHA,DNTH,EHLD,RCKT,LLYVK,BTAI,LSCC,INNV,CCCC,GASS,ESOA,GLBS,ALMS,AGCC,OBA,LMAT,CPSS,AXG,KNDI,KPTI,PRSO,ALLO,QRVO,AXTI"
-3.389089,2.180247,0.39,0.28,0.08,0.05,NSGA2,1768,8,"CLBT,JLHL,DNLI,PAA,LGO,ACHV,BMRN,PAHC,LFWD,PRME,IBIO,RBKB,LASR,CLFD,HXHX,MXL,TWIN,NVTS,IPGP,PIII,NWPX,BMM,BRID,PPTA,ELVN,APA,ARTV,CDIO,FBIO,HEPS,PENN,HURA,BDSX,KEQU,NTCT,IBRX,SLAB,COCO,BRBI,DLTR,ASPS,CVKD,PRLD,NCSM,MDCX,CETY,CWBC,FBGL,ASMB,MLEC,USEG,CCSI,RCEL,ELTX,NXST,DOGZ,ALM,LAND,CALM,ACFN,ALIS,JVA,PSNY,IMUX,BCAL,HIND,DMLP,FDSB,HFBL,KLTO,NMRA,IRD,PRQR,MITK,CXDO,OCGN,ALBT,BKHA,MBIO,LITE,BATRK,PVLA,FWONA,PLTR,CHEC,BLIN,RXT,PUBM,GVH,AUTL,MNY,SEV,KYIV,CLYM,JL,RAIL,BDMD,MBBC,CHRD,ATOM,LOKV,AMCX,CRIS,HDL,AUGO,ISSC,HBIO,CRBU,ABVX,ESEA,AVNW,CBUS,COCH,MBOT,HWKN,JAGX,LFST,DWSN,AIXI,ENLT,IDCC,AGAE,METCB,ITRI,RMCF,PLRX,NCI,IPX,PRTS,PMVP,CEPO,CURX,INKT,KLIC,OFAL,COYA,INAC,JRVR,LWAC,EPOW,GOOD,CDNL,EQIX,MKTX,FATBB,CCEP,PMN,BCAB,RIME,ACLX,MOLN,IOVA,CHW,GRAB,ADTN,LGN,EYPT,LGVN,PHVS,PXS,COLA,EBMT,BSY,PSKY,MGNX,ABOS,ENTA,BEAM,INDP,CRAC,NAUT,LGCB,NWTG,AEHR,ACOG,FORM,GSAT,QTTB,GLDD,ANDE,MKLY,NEXM,GANX,ADI,GPRE,RAY,ATNI,ACHC,APRE,FSLY,NESR,OPEN,EDSA,EDRY,HROW,PLSE,AXON,GPAC,EGHT,LXRX,GOGO,RCKT,INNV,CCCC,PROK,ESOA,GLBS,EZRA,KLXE,TW,LIQT,MVIS,HITI,AXG,KPTI,ALLO,AXTI"
-3.386377,2.0690500000000003,0.23,0.26,0.12,0.04,NSGA2,1768,1,"EWCZ,LGO,PAHC,AROW,MNSB,CAPS,PRME,IBIO,ADMA,IMOS,MTEK,HON,GO,IMXI,LASR,HMR,PSTV,EDAP,SILC,RDNW,PIII,FCEL,PPTA,ELVN,ARTV,CDIO,FBLG,PSHG,PENN,HURA,BDSX,KEQU,CLDX,IBRX,SLAB,PENG,ASPS,CVKD,PRLD,MDCX,CPIX,CETY,FBGL,MLEC,RCEL,ELTX,NXST,ALM,GEHC,CARL,LAND,CALM,EXC,CNXN,JVA,IMUX,HUDI,BCAL,HIND,HSIC,ARCT,FRGT,KLTO,NMRA,WFCF,BZAI,CAMP,FTHM,IRD,ADSE,PRQR,ESLA,CMPX,MITK,HTCO,DERM,OCGN,ALBT,LITE,PVLA,AQMS,BOKF,FTDR,MLAB,RXT,NXT,AUTL,MNY,SEV,KYIV,OVBC,CLYM,CIFR,JL,AKBA,RAIL,BDMD,FIP,AKTX,JBSS,LGIH,ATOM,NBTX,CRIS,DTIL,AUGO,HCM,ISSC,HBIO,CRBU,AVNW,CBUS,MBOT,JAGX,NIU,LEGN,FATE,DWSN,HCAC,BLFY,IMMX,NKSH,ENLT,QCRH,AGAE,AUR,GABC,PRDO,MGN,NCI,IPX,CMPS,PRTS,CAPR,CCG,PMVP,BGLC,BMEA,CURX,OFAL,GP,CDNL,CMMB,FATBB,HVMC,PMN,CODA,GDEN,ACLX,IOVA,PSEC,MLAC,LGN,EYPT,CRSR,FERA,PXS,GRCE,COCP,ABOS,LEGH,GMHS,NAUT,COOT,RCKY,UCTT,FLEX,BRLS,INVA,JAZZ,LGCB,NWTG,AEHR,RJET,LWLG,ALRM,ACOG,CGNX,FORM,QTTB,GLDD,GANX,ADI,LMB,ESTA,ACHC,FSLY,ELVR,NESR,INO,EDSA,ICCC,EDRY,NVEC,HROW,MIRA,ESHA,EHLD,RCKT,BTAI,LSCC,INNV,CCCC,GASS,QMCO,ESOA,GLBS,ALMS,AGCC,OBA,ALGN,LMAT,CPSS,LWAY,LICN,AXG,KNDI,KPTI,ALLO,CCHH,PAGP,AXTI,NDLS"
-3.3821159999999995,1.935775,0.23,0.28,0.11,0.04,NSGA2,1768,1,"EWCZ,PAA,LGO,LIND,PAHC,PRME,IBIO,ADMA,MTEK,HON,GO,IMXI,LASR,HMR,PSTV,EDAP,SILC,RDNW,PIII,FCEL,PPTA,ELVN,ARTV,CDIO,FBLG,PSHG,PENN,HURA,BDSX,KEQU,CLDX,IBRX,SLAB,PENG,ASPS,CVKD,PRLD,MDCX,CPIX,CETY,FBGL,ARLP,MLEC,RCEL,ELTX,NXST,ALM,GEHC,CARL,LAND,CALM,EXC,CNXN,JVA,IMUX,HUDI,BCAL,HIND,HSIC,ARCT,DMLP,FRGT,KLTO,NMRA,WFCF,CAMP,FTHM,IRD,ADSE,PRQR,ESLA,MITK,HTCO,DERM,OCGN,ALBT,LITE,PVLA,AQMS,BOKF,FTDR,MLAB,RXT,NXT,AUTL,MNY,SEV,KYIV,OVBC,CLYM,CIFR,JL,AKBA,RAIL,BDMD,FIP,AKTX,JBSS,LGIH,ATOM,NBTX,CRIS,DTIL,AUGO,HCM,ISSC,HBIO,CRBU,CING,AVNW,CBUS,MBOT,JAGX,NIU,LEGN,FATE,DWSN,HCAC,BLFY,IMMX,NKSH,ENLT,QCRH,AGAE,AUR,GABC,PRDO,MGN,NCI,IPX,CMPS,PRTS,CAPR,CCG,PMVP,BGLC,BMEA,CURX,OFAL,GP,GOOD,CMMB,GSIT,FATBB,HVMC,PMN,CODA,GDEN,ACLX,IOVA,PSEC,MLAC,CTOR,LGN,EYPT,CRSR,PXS,COCP,PSKY,AVIR,ABOS,LEGH,CERS,NAUT,COOT,RCKY,UCTT,FLEX,BRLS,INVA,JAZZ,LGCB,NWTG,AEHR,RJET,QUIK,LWLG,OMH,ACOG,CGNX,FORM,QTTB,GLDD,JG,LPBB,GANX,ADI,LMB,ESTA,ACHC,FSLY,ELVR,NESR,INO,EDSA,ICCC,EDRY,NVEC,HROW,MIRA,ESHA,DNTH,CRUS,KHC,EHLD,RCKT,LLYVK,BTAI,LSCC,INNV,CCCC,GASS,QMCO,ESOA,GLBS,ALMS,AGCC,OBA,LMAT,CPSS,AXG,KNDI,KPTI,PRSO,ALLO,QRVO,AXTI"
-3.341115,1.856268,0.38,0.29,0.11,0.05,NSGA2,1768,4,"HURN,JLHL,EWCZ,LIND,REG,PRME,IMOS,RBKB,BKR,CRAQ,GNLX,IMXI,FGMC,PSTV,MIMI,SILC,OBIO,ANIX,IPGP,PIII,AGNC,BMM,NCEW,PPTA,ARTV,CDIO,HEPS,PENN,HURA,BDSX,KEQU,APPN,IBRX,COCO,INTR,BRBI,DLTR,GFS,PHUN,ASPS,MRM,CVKD,NCSM,CPIX,JAKK,FBGL,EVOX,ARLP,MLEC,CCSI,RCEL,ELTX,PLBY,ALM,EXC,FENC,CLMT,ALIS,RRBI,JVA,PSNY,IMUX,HIND,ARCT,DMLP,NUVL,FDSB,FRGT,AEBI,HFBL,KLTO,NMRA,LVO,WFCF,GERN,IRD,ADSE,MITK,FACT,HIHO,PTEN,ALBT,MBIO,LITE,PVLA,VRA,QSEA,RXT,QTI,ETHM,PUBM,AUTL,CTRM,SEV,AMSC,NNNN,CLYM,JL,BDMD,ECPG,APGE,JBSS,ATOM,NBTX,LOKV,OWLS,CRIS,HDL,AUGO,CRSP,ESLT,ISSC,HBIO,CRBU,NPCE,PRTH,BACC,ESEA,BBSI,CBUS,FITB,MBOT,HWKN,JAGX,AVPT,NIU,FATE,DWSN,IMMX,NBIS,AGAE,AUR,BDCI,PRDO,MGN,NCI,PRTS,CRDF,CAPR,FER,JCAP,HTCR,PMVP,AOUT,CAKE,JCTC,BMEA,CURX,HLIT,INAC,DRDBU,GP,CDNL,CMMB,LECO,GSIT,NKTX,CENX,BLUW,CASH,FATBB,CCEP,PMN,BCAB,CODA,ONCY,GENK,GDEN,ACLX,ENGN,MOLN,IOVA,GROW,EYPT,ROAD,CSWC,PXS,GRCE,LBRDK,ELUT,COCP,IBKR,MGNX,ENTA,INHD,GMHS,NAUT,RCKY,INVA,LGCB,PKOH,AEHR,LWLG,CRMD,IMKTA,OMH,CGNX,FNWB,FORM,HSAI,NEXM,EYE,ACHC,FSLY,NTRS,FIVE,DGXX,ELVR,ALXO,NESR,RBCAA,EDSA,PATK,ICCC,EDRY,LBRX,FAST,HROW,DRIO,KRUS,CRUS,ALF,AXON,NSSC,MBAV,DMAA,ANTX,EHLD,RCKT,MB,INNV,IFBD,CCCC,KOSS,NWGL,ESOA,GLBS,EZRA,KLXE,AGCC,TW,LMAT,LIQT,HITI,PDC,AXG,KPTI,ALLO,AXTI"
-3.336497,1.843321,0.38,0.28,0.11,0.05,NSGA2,1768,4,"JLHL,LIND,REG,PRME,IMOS,RBKB,BKR,CRAQ,GNLX,IMXI,FGMC,PSTV,MIMI,SILC,OBIO,ANIX,IPGP,PIII,AGNC,BMM,NCEW,PPTA,ARTV,CDIO,HEPS,PENN,HURA,BDSX,KEQU,APPN,IBRX,COCO,INTR,BRBI,DLTR,GFS,PHUN,ASPS,MRM,CVKD,NCSM,CPIX,JAKK,FBGL,EVOX,ARLP,MLEC,CCSI,RCEL,ELTX,PLBY,ALM,EXC,FENC,CLMT,ALIS,RRBI,JVA,PSNY,IMUX,HIND,ARCT,DMLP,NUVL,FDSB,FRGT,AEBI,HFBL,KLTO,NMRA,LVO,WFCF,GERN,IRD,ADSE,MITK,FACT,HIHO,PTEN,ALBT,MBIO,LITE,PVLA,VRA,QSEA,RXT,QTI,ETHM,PUBM,AUTL,CTRM,SEV,AMSC,NNNN,CLYM,JL,BDMD,ECPG,APGE,JBSS,ATOM,NBTX,LOKV,OWLS,CRIS,HDL,AUGO,CRSP,ESLT,ISSC,HBIO,CRBU,NPCE,PRTH,BACC,ESEA,BBSI,CBUS,FITB,MBOT,HWKN,JAGX,AVPT,NIU,FATE,DWSN,IMMX,NBIS,AGAE,AUR,BDCI,PRDO,MGN,NCI,PRTS,CRDF,CAPR,FER,JCAP,HTCR,PMVP,AOUT,CAKE,JCTC,BMEA,CURX,HLIT,INAC,DRDBU,GP,CDNL,CMMB,LECO,GSIT,NKTX,CENX,BLUW,CASH,FATBB,CCEP,PMN,BCAB,CODA,ONCY,GENK,GDEN,ACLX,ENGN,MOLN,IOVA,GROW,EYPT,ROAD,CSWC,PXS,GRCE,LBRDK,ELUT,COCP,IBKR,MGNX,ENTA,INHD,GMHS,NAUT,RCKY,INVA,LGCB,PKOH,AEHR,LWLG,CRMD,IMKTA,OMH,CGNX,FORM,HSAI,NEXM,EYE,ACHC,FSLY,NTRS,FIVE,DGXX,ELVR,ALXO,NESR,RBCAA,EDSA,PATK,ICCC,EDRY,LBRX,FAST,HROW,DRIO,KRUS,CRUS,ALF,AXON,NSSC,MBAV,DMAA,ANTX,EHLD,RCKT,MB,INNV,IFBD,CCCC,KOSS,NWGL,ESOA,GLBS,EZRA,KLXE,AGCC,TW,LMAT,LIQT,HITI,PDC,AXG,KPTI,ALLO,AXTI"
-3.3304,1.839939,0.37,0.27,0.11,0.05,NSGA2,1768,4,"JLHL,LIND,REG,PRME,IMOS,RBKB,BKR,CRAQ,GNLX,IMXI,FGMC,PSTV,MIMI,SILC,OBIO,ANIX,IPGP,PIII,AGNC,BMM,NCEW,PPTA,ARTV,CDIO,HEPS,PENN,HURA,BDSX,KEQU,APPN,IBRX,COCO,INTR,BRBI,DLTR,GFS,PHUN,ASPS,MRM,CVKD,NCSM,CPIX,JAKK,FBGL,EVOX,ARLP,MLEC,CCSI,RCEL,ELTX,PLBY,ALM,EXC,FENC,CLMT,ALIS,RRBI,JVA,PSNY,IMUX,HIND,ARCT,DMLP,NUVL,FDSB,FRGT,AEBI,HFBL,KLTO,NMRA,LVO,WFCF,GERN,IRD,ADSE,MITK,FACT,HIHO,PTEN,ALBT,MBIO,LITE,PVLA,VRA,QSEA,RXT,QTI,ETHM,PUBM,AUTL,CTRM,SEV,AMSC,NNNN,CLYM,JL,BDMD,ECPG,APGE,JBSS,ATOM,NBTX,LOKV,OWLS,CRIS,HDL,AUGO,CRSP,ESLT,ISSC,HBIO,CRBU,NPCE,PRTH,BACC,ESEA,BBSI,CBUS,FITB,MBOT,HWKN,JAGX,AVPT,NIU,FATE,DWSN,IMMX,NBIS,AGAE,AUR,BDCI,PRDO,MGN,NCI,PRTS,KVAC,CRDF,CAPR,JCAP,HTCR,PMVP,AOUT,CAKE,JCTC,BMEA,CURX,HLIT,INAC,DRDBU,GP,CDNL,CMMB,LECO,GSIT,NKTX,CENX,BLUW,FATBB,CCEP,PMN,BCAB,CODA,ONCY,GENK,GDEN,ACLX,ENGN,MOLN,IOVA,GROW,EYPT,ROAD,CSWC,PXS,GRCE,LBRDK,ELUT,COCP,IBKR,MGNX,ENTA,INHD,GMHS,NAUT,RCKY,INVA,LGCB,PKOH,AEHR,LWLG,CRMD,IMKTA,CGNX,FORM,HSAI,NEXM,EYE,ACHC,FSLY,NTRS,FIVE,DGXX,ELVR,ALXO,NESR,RBCAA,EDSA,PATK,ICCC,EDRY,LBRX,FAST,HROW,DRIO,KRUS,CRUS,ALF,AXON,NSSC,MBAV,DMAA,ANTX,EHLD,RCKT,MB,INNV,IFBD,CCCC,KOSS,NWGL,ESOA,GLBS,EZRA,KLXE,AGCC,TW,LMAT,LIQT,HITI,PDC,CENTA,AXG,KPTI,ALLO,AXTI"
-3.329399,1.815229,0.38,0.28,0.12,0.04,NSGA2,1768,10,"JLHL,EWCZ,LGO,LIND,PAHC,CSX,PRME,IBIO,IMOS,RBKB,BKR,LASR,HMR,PSTV,MIMI,SATS,CSAI,RDNW,OBIO,ANIX,PXLW,IPGP,PIII,BMM,NECB,FCEL,NCEW,PPTA,KALU,ARTV,CDIO,FBLG,PENN,HURA,FSEA,VKTX,PTLO,GLSI,BDSX,NTCT,IBRX,SLAB,COCO,BLFS,KINS,DLTR,ASPS,MRM,CVKD,PRLD,MDCX,CPIX,ACGL,KIDS,JAKK,FBGL,BLBD,AIRJ,PRPL,MLEC,LINE,CCSI,ELTX,PRVA,NXST,PLBY,NSPR,CARL,CELC,EXC,ACFN,ALIS,CNXN,AMAL,PSNY,IMUX,HIND,FRGT,HFBL,KLTO,FRAF,NMRA,GERN,CAMP,IRD,ADSE,MITK,ALBT,LITE,PVLA,IIIV,BOKF,MLAB,RXT,PUBM,VSAT,ATHE,NN,GPRO,AUTL,MNY,SEV,BBCP,CTRN,CLYM,JL,MARA,ETHZ,IRDM,BDMD,MBBC,APGE,BCML,ATOM,NBTX,AMCX,CRIS,HDL,OAKU,AUGO,HBIO,FMNB,ESEA,AVNW,CBUS,MAR,MBOT,III,JAGX,NIU,FATE,DWSN,AAPL,IMMX,MTLS,NWL,ENLT,RAIN,ECBK,FMST,NBIS,AGAE,ITRI,CVRX,MGN,NCI,PRTS,PMVP,BMEA,CURX,RAAQ,HOUR,KLIC,DRH,JANX,IVA,OFAL,GOOD,CMMB,NKTX,FATBB,MAYS,PMN,BCAB,CODA,ONCY,ACLX,ENGN,IOVA,HQI,CTOR,ADTN,LGN,EYPT,ROAD,GIFT,PHVS,PXS,BMHL,FSTR,PSKY,AVIR,SAMG,RELY,GMHS,RCKY,UCTT,DMAC,AEHR,RJET,LWLG,ACOG,CGNX,CEPV,GANX,GPRE,IBCP,ATNI,BMBL,ACHC,APRE,HNRG,NDSN,NTRS,FIVE,ALXO,PULM,OSBC,EDSA,CLOV,EDRY,CTNM,HROW,ESPR,ALF,AXON,LXRX,NSSC,RCKT,FLXS,LLYVK,LSCC,CCCC,PROK,RGLD,ESOA,GLBS,HITI,AXG,KPTI,NHIC,ALLO,AXTI,NDLS"
-3.32796,1.781582,0.35,0.26,0.1,0.04,NSGA2,1768,1,"EWCZ,LGO,PAHC,AROW,MNSB,CAPS,PRME,IBIO,ADMA,IMOS,MTEK,HON,GO,IMXI,LASR,HMR,PSTV,EDAP,SILC,RDNW,PIII,FCEL,PPTA,ELVN,ARTV,CDIO,FBLG,PSHG,PENN,HURA,BDSX,KEQU,CLDX,IBRX,SLAB,PENG,ASPS,CVKD,PRLD,MDCX,CPIX,CETY,FBGL,MLEC,RCEL,ELTX,NXST,ALM,GEHC,CARL,LAND,CALM,EXC,CNXN,JVA,IMUX,HUDI,BCAL,HIND,HSIC,ARCT,FRGT,KLTO,NMRA,WFCF,CAMP,IRD,ADSE,PRQR,ESLA,MITK,HTCO,DERM,OCGN,ALBT,LITE,BATRK,PVLA,BOKF,FTDR,AUTL,MNY,SEV,OVBC,CLYM,CIFR,JL,AKBA,RAIL,BDMD,FIP,AKTX,JBSS,LGIH,ATOM,NBTX,CRIS,DTIL,AUGO,HCM,MMTX,ISSC,HBIO,CRBU,AVNW,CBUS,MBOT,LBTYB,JAGX,NIU,LEGN,DWSN,BLFY,AVTX,LNT,NWL,NKSH,ENLT,QCRH,NBIS,AGAE,AUR,PLRX,PRDO,MGN,NCI,BAYA,IPX,BWIN,CMPS,PRTS,NMFC,CAPR,FER,HCSG,PMVP,BGLC,BMEA,CURX,IVA,OFAL,GP,CDNL,EQIX,CMMB,HVII,FATBB,HVMC,PMN,CODA,GDEN,ACLX,IOVA,PSEC,MLAC,LGN,EYPT,CRSR,PXS,COCP,PSKY,AVIR,ABOS,LEGH,CERS,NAUT,COOT,RCKY,UCTT,FLEX,BRLS,INVA,JAZZ,LGCB,NWTG,AEHR,RJET,QUIK,LWLG,OMH,ACOG,CGNX,FORM,QTTB,GLDD,JG,LPBB,DCOY,GANX,ADI,LMB,ESTA,ACHC,FSLY,ELVR,NESR,INO,EDSA,ICCC,EDRY,ENTG,HROW,ESHA,EHLD,RCKT,BTAI,LSCC,INNV,CCCC,GASS,QMCO,ESOA,GLBS,ALMS,AGCC,OBA,ALGN,LMAT,CPSS,LWAY,LICN,AXG,KNDI,KPTI,ALLO,CCHH,PAGP,AXTI,NDLS"
