f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.443156,0.580922,0.01,0.02,0.01,0.01,RANDOM,884,0,"MNSB,LFWD,SWKH,SATS,MNTK,ATPC,CDIO,BRBI,MLEC,KURA,PRVA,ALM,FENC,ACFN,PKBK,FAT,IMUX,BZAI,CAMP,RXT,SHMD,VSAT,EDTK,CGTX,TILE,BDMD,HSDT,ECPG,HTZ,COCH"
-0.422743,0.519919,0.0,0.01,0.01,0.01,RANDOM,884,7,"ACRV,BTCS,PIII,RILY,NCEW,PPTA,NRXP,OXSQ,CDIO,PSHG,CVKD,CAPT,HCMA,CHCI,PLBY,LAND,ARCT,PACH,OZK,EDBL,IIIV,ASTI,RXT,AMSC,BDMD,CRIS,IPEX,CCLD,NPCE,CBUS"
-0.402775,0.514727,0.2,0.05,0.01,0.01,RANDOM,884,10,"NTNX,PRME,CTXR,NWE,MIMI,IPGP,AGNC,FMAO,FCEL,PRE,CDIO,LVLU,PLRZ,MDCX,ARLP,MLEC,IPST,ELTX,NTWO,EXC,MMYT,ADAG,HAO,ICUI,ATRA,RXT,EDTK,FCNCA,WHF,NBTX"
-0.388996,0.485623,0.01,0.06,0.01,0.0,RANDOM,884,20,"JFU,CVBF,UROY,BRKR,PCVX,GO,KNSA,CSAI,AUDC,HURA,LFVN,IBRX,AGYS,CPIX,FBGL,LINE,NXST,PDYN,DAKT,OTEX,BACQ,PSNY,KLTO,NMRA,ACXP,GSM,RXT,GVH,GCTK,IRTC"
-0.385907,0.311611,0.04,0.0,0.02,0.01,RANDOM,884,0,"NATR,REG,QQQX,FHTX,NWPX,GLMD,CDIO,HURA,GDRX,CPIX,ONB,MLEC,PANW,PCAR,CHAR,LESL,LFMD,BZAI,FTHM,IRD,PFAI,ALBT,CHEC,BTTC,BDMD,CRIS,MMTX,BBSI,INCR,CHRS"
-0.377292,0.218539,0.01,0.03,0.02,0.01,RANDOM,884,14,"DCOM,MNSB,CGCT,HMR,RADX,BRID,CDIO,HURA,IBRX,GFS,ASPS,CBLL,ICFI,CURI,DOGZ,PLBY,LAFA,ACFN,CNXN,CSGP,PSNY,FRAF,MLAB,GVH,MDXH,BDMD,ECPG,HAVA,IMMR,HQY"
-0.336252,0.157306,0.05,0.02,0.01,0.01,RANDOM,884,22,"CSGS,CSX,ETS,EFOI,RDNW,MU,ARTV,HURA,BZ,BLBD,LOCO,RGS,CCSI,ASPC,PESI,HAVAU,HUDI,NMRA,IRD,CHEC,EDTK,SEV,DRS,IRDM,BDMD,ECPG,OMEX,ATOM,BLRX,MTEX"
-0.325166,0.151583,0.01,0.03,0.01,0.01,RANDOM,884,24,"BMRN,CLFD,MNDO,AUDC,FKWL,NCEW,GLOO,CGO,HURA,BDSX,BRBI,KUST,PRLD,FBGL,ARLP,ALM,CARL,LAFA,PSNY,BCAL,APM,IRD,CMPX,PVLA,GPAT,QNRX,TILE,CCEC,PRCH,COCH"
-0.276804,0.137258,0.03,0.07,0.02,0.0,RANDOM,884,8,"UROY,PAA,PAHC,RXST,RBNE,AQST,HURA,FLL,SLAB,PRLD,MDCX,LOCO,FMBH,ALM,KLTO,EOLS,IRD,ARQ,PROV,AQMS,BOKF,MLAB,AMSC,ATLC,MESH,ONC,AUGO,CRSP,CAR,MTVA"
-0.254813,0.129277,0.04,0.05,0.0,0.01,RANDOM,884,20,"CLBT,CAPS,NTRB,BNC,CDNS,HXHX,GLIBA,BDSX,CLDX,NCSM,MDCX,BLBD,CHAR,KYTX,IAC,PSNY,KLTO,IMVT,OZK,POM,CRWS,IRDM,BDMD,AMCX,CRIS,BEEP,MMTX,DLTH,ABVX,HWKN"
