f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-2.8094250000000005,6.814338,0.33,0.2,0.09,0.04,NSGA2,884,12,"UFCS,JLHL,EWCZ,NATR,LGO,ACHV,LIND,BMRN,PAHC,REG,CSX,PRME,IBIO,NWE,IMOS,RBKB,BOLD,HON,LASR,HMR,NTHI,CLFD,PSTV,MIMI,SILC,RDNW,GLIBA,IPGP,CFFI,PIII,UCAR,BMM,FCEL,NCEW,PPTA,APA,ARTV,CDIO,FBLG,FGL,PENN,HURA,VKTX,BDSX,NTCT,IBRX,PENG,KINS,CHSN,DLTR,ASPS,CVKD,PRLD,NCSM,MDCX,CPIX,ACGL,FBGL,GMGI,ARLP,BLBD,LOCO,IBAC,MLEC,PGC,LINE,HCMA,CCSI,EZGO,RCEL,ELTX,PRVA,ASRV,KMDA,CHCI,MFIN,NXST,CMTL,EXE,DOGZ,PLBY,ALM,NSPR,GEHC,LAND,NTWO,EXC,IRMD,FENC,LAFA,CLMT,DAKT,ACFN,IAC,AMAL,BNTX,RRBI,PSNY,IMUX,HIND,HSIC,DMLP,KLTO,NMRA,LVO,WFCF,CAMP,GCT,IRD,AMKR,PRQR,MITK,GSM,CELH,HTCO,PTEN,DFLI,OCGN,PROV,ALBT,MBIO,LITE,PVLA,VRA,FWONA,AQMS,ONMD,GPAT,AFRI,FTDR,BLIN,RXT,ATHE,AUTL,MNY,SEV,BBCP,OVBC,CLYM,ALEC,AVBH,JL,PRAX,IRDM,RAIL,MDLN,BDMD,MBBC,CCEC,ECPG,APGE,ASO,CHRD,MPB,ATOM,NBTX,LOKV,CRIS,DTIL,HAVA,IMMR,AUGO,CRSP,ANGO,ISSC,LIN,HBIO,CRBU,AMAT,PRCH,MKZR,ESEA,CBUS,GNSS,COCH,MBOT,LBTYB"
-2.8025290000000003,6.735135000000001,0.3,0.3,0.09,0.04,NSGA2,884,5,"JLHL,EWCZ,BCAR,NATR,LGO,ACHV,BMRN,PAHC,CSX,CGCT,PRME,IBIO,IMOS,RBKB,KFFB,BKR,HON,GO,GNLX,LASR,MBCN,NTHI,PSTV,RDNW,GLIBA,NVTS,IPGP,PIII,UCAR,NWPX,PAVM,FFIN,BMM,NCEW,BRID,PPTA,GLOO,ODFL,APA,ARTV,CDIO,FBIO,FBLG,CGO,PENN,HURA,BDSX,KEQU,CLDX,NTCT,IBRX,SLAB,KINS,BRBI,CHSN,GFS,ASPS,NSIT,CVKD,PRLD,MDCX,CPIX,HLP,JAKK,FBGL,GMGI,ARLP,BLBD,LOCO,AIRJ,IBAC,MLEC,KURA,LINE,CCSI,ELTX,KMDA,CLLS,NXST,PLBY,ALM,PDYN,GEHC,CARL,CALM,EXC,IRMD,FENC,LAFA,CLMT,ACFN,IAC,BACQ,JVA,PSNY,IMUX,HIND,HFBL,KLTO,FRAF,NMRA,LPSN,LVO,FVCB,IRD,ESLA,MITK,CGON,MYRG,BCPC,DERM,OCGN,PROV,ALBT,GTX,BKHA,BWB,LITE,BATRK,PVLA,ICUI,VRA,IIIV,ONMD,BOKF,AFRI,CHEC,ASTI,MLAB,ATRA,IPHA,BLIN,BSBK,RXT,PUBM,HFWA,AQB,AUTL,MNY,LIEN,SEV,BBCP,AMSC,CLYM,ALEC,MDXH,JL,FANG,IRDM,BDMD,MBBC,CCEC,ECPG,APGE,ASO,ELTK,ATOM,NBTX,LOKV,OWLS,CRIS,LMFA,DRTS,FBYD,LCNB,AUGO,CRSP,ANGO,ISSC,LIN,HBIO,CRBU,AMAT,ESEA,CBUS,MAR,MBOT,HWKN"
-2.799189,6.729714000000001,0.3,0.3,0.09,0.04,NSGA2,884,5,"JLHL,EWCZ,BCAR,NATR,LGO,ACHV,BMRN,PAHC,CSX,CGCT,PRME,IBIO,IMOS,RBKB,KFFB,BKR,HON,GO,GNLX,LASR,MBCN,NTHI,PSTV,RDNW,GLIBA,NVTS,IPGP,PIII,NWPX,PAVM,FFIN,BMM,NCEW,BRID,PPTA,GLOO,ODFL,APA,ARTV,CDIO,FBIO,FBLG,CGO,PENN,HURA,BDSX,KEQU,CLDX,NTCT,IBRX,SLAB,KINS,BRBI,CHSN,GFS,ASPS,NSIT,CVKD,PRLD,MDCX,CPIX,HLP,JAKK,FBGL,GMGI,ARLP,BLBD,LOCO,IBAC,MLEC,KURA,LINE,CCSI,ELTX,KMDA,CLLS,NXST,PLBY,ALM,PDYN,GEHC,CARL,CALM,EXC,IRMD,FENC,LAFA,CLMT,ACFN,IAC,BACQ,JVA,PSNY,IMUX,HIND,HFBL,KLTO,FRAF,NMRA,LPSN,LVO,FVCB,IRD,ESLA,MITK,CGON,MYRG,BCPC,DERM,OCGN,PROV,ALBT,GTX,BKHA,BWB,LITE,BATRK,PVLA,ICUI,VRA,IIIV,ONMD,BOKF,AFRI,CHEC,ASTI,MLAB,ATRA,IPHA,BLIN,BSBK,RXT,PUBM,HFWA,AQB,AUTL,MNY,LIEN,SEV,BBCP,AMSC,CLYM,ALEC,MDXH,JL,FANG,IRDM,BDMD,MBBC,CCEC,ECPG,APGE,ASO,ELTK,ATOM,NBTX,LOKV,OWLS,CRIS,LMFA,DRTS,FBYD,LCNB,AUGO,CRSP,ANGO,ISSC,LIN,HBIO,CRBU,AMAT,ESEA,CBUS,MAR,MBOT,HWKN"
-2.79469,6.718991000000001,0.38,0.22,0.09,0.04,NSGA2,884,0,"CSGS,ASND,UFCS,JLHL,EWCZ,BCAR,LGO,LIND,PAHC,REG,CSX,IBIO,PCVX,IMOS,RBKB,BKR,FIBK,HON,GO,IMXI,LASR,CCD,NTHI,HXHX,VTGN,PSTV,EDAP,EURK,BVS,RDNW,OBIO,MASS,PXLW,IPGP,PIII,MRCY,CUB,BMM,KC,NCEW,BRID,PPTA,GLOO,ELVN,APA,PERI,ARTV,CDIO,FBIO,MEOH,PSHG,PENN,HURA,VKTX,BDSX,KEQU,CLDX,IBRX,SLAB,BLFS,GILD,PHUN,ASPS,ASLE,CVKD,PRLD,MDCX,CPIX,JAKK,FBGL,GMGI,BLBD,LOCO,RGS,ASMB,MLEC,PGC,USEG,LINE,CCSI,AVT,RCEL,CHDN,ELTX,ASRV,NWBI,KMDA,CHCI,AXIN,ASPC,NXST,DOGZ,PLBY,ALM,CARL,LAND,EXC,CLMT,DAKT,ACFN,HTBK,PSNY,IMUX,HIND,ARCT,KLTO,NMRA,LVO,CAMP,IRD,ADSE,PRQR,MITK,CGON,GSM,PTEN,DERM,OCGN,LFUS,GYRO,ALBT,GTX,MBIO,LITE,BATRK,PVLA,VRA,IIIV,ONMD,FTDR,CHEC,MLAB,RXT,ATHE,NN,OCS,AUTL,MNY,SEV,BBCP,OVBC,MCRB,CLYM,ALEC,JL,DRS,IRDM,KDP,RAIL,NOEM,BDMD,CCEC,REGN,ECPG,ATLO,FFIV,ATOM,NBTX,LOKV,MATW,CRIS,DTIL,DRTS,HAVA,FBYD,OAKU,LCNB,AUGO,ISSC,LIN,HBIO,CRBU,ABVX,FMNB,ESEA,CBUS,MBOT,HWKN,MRVI"
-2.790394,6.698389000000001,0.39,0.23,0.08,0.04,NSGA2,884,0,"CSGS,ASND,JLHL,EWCZ,BCAR,PAA,LGO,LIND,PAHC,REG,CSX,IBIO,PCVX,IMOS,RBKB,NTRB,OPK,BKR,GO,GNLX,IMXI,LASR,CCD,NTHI,HXHX,VTGN,PSTV,EDAP,EURK,BVS,RDNW,OBIO,MASS,HDSN,PXLW,IPGP,PIII,CUB,BMM,KC,NCEW,PPTA,GLOO,ELVN,APA,PERI,ARTV,CDIO,FBIO,MEOH,PSHG,PENN,HURA,VKTX,BDSX,KEQU,CLDX,IBRX,SLAB,BLFS,GILD,PHUN,ASPS,ASLE,CVKD,PRLD,MDCX,CPIX,JAKK,FBGL,GMGI,BLBD,LOCO,RGS,ASMB,MLEC,PGC,USEG,LINE,CCSI,AVT,RCEL,CHDN,ELTX,ASRV,NWBI,KMDA,CHCI,AXIN,ASPC,NXST,DOGZ,PLBY,ALM,LAND,EXC,CLMT,ACFN,PSNY,IMUX,HIND,KLTO,NMRA,CAMP,IRD,PRQR,ESLA,MITK,CGON,BCPC,GSM,PTEN,OCGN,LFUS,ALBT,GTX,MBIO,LITE,BATRK,PVLA,VRA,ONMD,FTDR,CHEC,MLAB,RXT,ATHE,NN,OCS,AUTL,MNY,SEV,OVBC,CLYM,ALEC,JL,DRS,IRDM,KDP,RAIL,NOEM,BDMD,CCEC,REGN,ECPG,ATLO,FFIV,ATOM,NBTX,LOKV,MATW,CRIS,DRTS,HAVA,FBYD,OAKU,LCNB,AUGO,ISSC,LIN,HBIO,CRBU,ABVX,ESEA,CBUS,MAR,MBOT,HWKN,MRVI"
-2.7867300000000004,6.690682000000001,0.36,0.24,0.09,0.04,NSGA2,884,0,"CSGS,ASND,UFCS,JLHL,EWCZ,BCAR,LGO,LIND,PAHC,REG,CSX,CRAI,IBIO,PCVX,IMOS,RBKB,BKR,GO,IMXI,LASR,CCD,NTHI,HXHX,VTGN,PSTV,EDAP,EURK,BVS,RDNW,OBIO,MASS,PXLW,IPGP,PIII,CUB,BMM,KC,NCEW,PPTA,ELVN,APA,PERI,ARTV,CDIO,FBIO,MEOH,PSHG,PENN,HURA,VKTX,BDSX,KEQU,CLDX,IBRX,SLAB,BLFS,GILD,PHUN,ASPS,ASLE,CVKD,PRLD,MDCX,CPIX,JAKK,FBGL,GMGI,BLBD,LOCO,RGS,ASMB,MLEC,PGC,USEG,LINE,CCSI,AVT,RCEL,CHDN,ELTX,ASRV,NWBI,CHCI,AXIN,NXST,DOGZ,PLBY,ALM,NTWO,EXC,IRMD,FENC,CLMT,ACFN,IAC,PSNY,IMUX,HIND,ARCT,HFBL,KLTO,NMRA,CAMP,IRD,ADSE,PRQR,MITK,CGON,GSM,PTEN,OCGN,LFUS,GYRO,ALBT,GTX,MBIO,LITE,BATRK,PVLA,VRA,IIIV,ONMD,FTDR,CHEC,MLAB,RXT,ATHE,NN,OCS,AUTL,MNY,SEV,BBCP,OVBC,CLYM,ALEC,JL,DRS,IRDM,KDP,RAIL,NOEM,BDMD,CCEC,REGN,ECPG,ATLO,FFIV,ATOM,NBTX,LOKV,MATW,CRIS,DTIL,DRTS,HAVA,FBYD,OAKU,LCNB,AUGO,ISSC,LIN,HBIO,CRBU,ABVX,FMNB,ESEA,CBUS,MBOT,HWKN,MRVI"
-2.7653830000000004,6.687184,0.28,0.24,0.08,0.03,NSGA2,884,26,"JLHL,LOAN,EWCZ,BCAR,PAA,NATR,LGO,PAHC,CSX,PRME,IBIO,NWE,IMOS,RBKB,BKR,HON,NATH,LASR,NTHI,PSTV,BVS,RDNW,OBIO,MASS,IPGP,PIII,MNDO,NWPX,PAVM,AGNC,KC,NCEW,PPTA,GLOO,ODFL,APA,ARTV,OXSQ,CDIO,FBIO,FBLG,PENN,HURA,FSEA,VKTX,BDSX,CLDX,FUTU,IBRX,SLAB,BRBI,GFS,ASPS,CVKD,PRLD,MDCX,CPIX,KIDS,JAKK,FBGL,GMGI,ARLP,BLBD,AIRJ,PRPL,MLEC,PGC,USEG,LINE,CCSI,RCEL,ELTX,CHCI,CLLS,NXST,PLBY,ALM,GEHC,CARL,CELC,EXC,FENC,CLMT,DAKT,PSNY,IMUX,HIND,HSIC,NNE,ARCT,HFBL,KLTO,NMRA,CAMP,GCT,IRD,MITK,CGON,GSM,PFAI,CELH,HTCO,PTEN,OCGN,PROV,POM,ALBT,GTX,BKHA,MBIO,LITE,BATRK,PVLA,ONMD,BOKF,FTDR,MLAB,QSEA,RXT,OCS,AUTL,MNY,SEV,CLYM,ALEC,JL,LAFAU,PRAX,KDP,RAIL,GLTO,BDMD,ECPG,APGE,CHRD,MPB,ATOM,NBTX,LOKV,CRIS,DTIL,DRTS,AUGO,CRSP,CAAS,ISSC,LIN,HBIO,CRBU,ABVX,ESEA,AVNW,CBUS,MBOT,HWKN"
-2.7626360000000005,6.674378000000001,0.38,0.2,0.08,0.03,NSGA2,884,7,"ALCO,ASND,UFCS,JLHL,EWCZ,PAA,NATR,LGO,ACHV,BMRN,PAHC,CSX,PRME,IBIO,IMOS,RBKB,BKR,CRAQ,GO,NTHI,PSTV,RDNW,MASS,IPGP,PIII,CUB,BMM,NCEW,PPTA,ODFL,APA,ARTV,OXSQ,CDIO,FBLG,PENN,HURA,VKTX,BDSX,IBRX,SLAB,BLFS,DLTR,GILD,PHUN,ASPS,NSIT,CVKD,NFBK,PRLD,MDCX,CPIX,JAKK,FBGL,GMGI,ARLP,LOCO,AIRJ,PRPL,MLEC,LINE,CCSI,ELTX,PRVA,CCRN,CHCI,NXST,PLBY,ALM,NSPR,GEHC,CARL,LAND,NTWO,HBCP,EXC,FENC,CLMT,DAKT,ACFN,JVA,PSNY,IMUX,IZEA,HIND,NNE,DMLP,NUVL,FDSB,HFBL,KLTO,NMRA,LPSN,LVO,WFCF,GERN,CAMP,IRD,AMKR,EVAX,MITK,FACT,PTEN,OCGN,NNDM,ALBT,GTX,LITE,PVLA,FWONA,ONMD,FTDR,ASTI,MLAB,RXT,ETHM,ATHE,NN,AUTL,MNY,SEV,KYIV,BBCP,CTRN,AMSC,CLYM,ALEC,FRME,JL,FANG,IRDM,BDMD,MBBC,CCEC,ECPG,ATLO,ASO,CHRD,ATOM,NBTX,CRIS,DTIL,AUGO,CRSP,ANGO,ESLT,ISSC,LIN,HBIO,CRBU,ESEA,AVNW,CBUS,GNSS,MAR,MBOT,HWKN,MRVI"
-2.75863,6.6704240000000015,0.3,0.24,0.1,0.04,NSGA2,884,8,"ALCO,COGT,UFCS,EWCZ,PAA,LGO,ACHV,LIND,PAHC,MNSB,CSX,PRME,IBIO,ADMA,IMOS,RBKB,BSAA,BKR,FIBK,HON,KNSA,LASR,NTHI,CLFD,PSTV,RDNW,MASS,IPGP,PIII,MNDO,NWPX,PAVM,GNTX,BMM,NCEW,BRID,PPTA,ODFL,ELVN,APA,ARTV,CDIO,FBIO,FBLG,PSHG,PENN,HURA,BDSX,CLDX,IBRX,SLAB,PENG,GFS,ASPS,NSIT,CVKD,NFBK,PRLD,MDCX,CPIX,KIDS,JAKK,FBGL,REBN,GMGI,BLBD,LOCO,IBAC,RGS,ASMB,MLEC,LINE,HCMA,CCSI,AVT,RCEL,ELTX,NXST,ALM,NSPR,LAND,CALM,EXC,FENC,BACQ,JVA,PSNY,IMUX,HIND,KLTO,NMRA,DRUG,OS,LVO,WFCF,CAMP,IRD,ADSE,ESLA,MITK,MYRG,PTEN,OCGN,ALBT,GTX,MBIO,LITE,BATRK,PVLA,AQMS,ONMD,AFRI,CHEC,ASTI,MLAB,ATRA,BLIN,QSEA,RXT,PUBM,ATHE,AUTL,MNY,CTRM,SEV,CLYM,ALEC,MDXH,JL,PRAX,IRDM,ATLC,KDP,RAIL,MDLN,BDMD,MBBC,ECPG,CGC,QTRX,CHRD,ATOM,NBTX,LOKV,MATW,CRIS,DTIL,AUGO,CRSP,HCM,ANGO,ESLT,ISSC,CGEN,HBIO,CRBU,AMAT,ESEA,AVNW,CBUS,AVBP,MBOT,HWKN,MRVI"
-2.751855,6.657789000000001,0.39,0.19,0.08,0.04,NSGA2,884,16,"ALCO,JLHL,LGO,ACHV,LIND,BMRN,PAHC,CSX,PRME,IBIO,IMOS,RBKB,BKR,HON,RBNE,GNLX,IMXI,KNSA,LASR,CCD,PSTV,BTBD,BVS,RDNW,IPGP,PIII,NWPX,PAVM,EXEL,BMM,NECB,PPTA,GLOO,ODFL,APA,ARTV,CDIO,COLAU,PSHG,PENN,HURA,VKTX,BDSX,KEQU,CLDX,IBRX,SLAB,COCO,GILD,PHUN,ASPS,PRLD,MDCX,CPIX,KIDS,HLP,JAKK,FBGL,GMGI,ARLP,BLBD,ASMB,MLEC,PGC,ORIQ,CCSI,RCEL,ELTX,ASRV,CHCI,NXST,ALM,NSPR,CARL,LAND,EXC,LAFA,CLMT,DAKT,ACFN,HTBK,JVA,PSNY,IMUX,HIND,ARCT,DMLP,HFBL,KLTO,NMRA,OS,JFIN,LVO,PACH,CAMP,IRD,ADSE,CARE,EVAX,MITK,PTEN,OCGN,PROV,LFUS,POM,ALBT,BKHA,LITE,BATRK,PVLA,PLTR,ONMD,GPAT,FTDR,MLAB,ATRA,RXT,ETHM,PUBM,NN,AUTL,MNY,SEV,CLYM,ALEC,QNRX,JL,FANG,PRAX,IRDM,KDP,RAIL,NOEM,MDLN,BDMD,CCEC,ECPG,AKTX,ATOM,NBTX,CRIS,DRTS,AUGO,CRSP,ANGO,ESLT,ISSC,HBIO,CRBU,ABVX,AMAT,RFIL,ESEA,CING,AVNW,CBUS,GNSS,MBOT,HWKN"
