f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.928159,6.593456,0.0,0.04,0.01,0.01,RANDOM,2653,29,"CRNX,AXGN,GMGI,CLLS,PTLE,MATW,NCI,APLD,FOLD,JANX,BFRG,VCTR,JRVR,FATBB,NCRA,BNR,LOVE,LXRX,PROK,CCHH,AXTI,IMMP,LRMR,AGPU,APWC,INSG,OLB,CHI,LITS,LOPE"
-0.833764,6.054318,0.03,0.03,0.01,0.01,RANDOM,2653,10,"DCBO,PPBT,MCFT,KALU,GMGI,AVT,GTX,RXT,BDMD,ATOM,OWLS,IFRX,HOWL,ALAB,FER,COCP,GLDD,CCIX,OTLK,MBLY,PYPL,HCACU,HBT,COLM,NMRK,NVAX,FMFC,GLPI,PLUR,CRNT"
-0.81578,6.049599,0.08,0.02,0.02,0.01,RANDOM,2653,9,"AUDC,MEOH,GMGI,MLEC,RXT,BFST,PLRX,APLD,JCTC,LGN,OMER,PHVS,COHU,BRR,GGR,AXON,LTRX,DSP,NVA,MYFW,HBT,MGRX,MRX,SIMA,ENTX,PODD,RECT,ATXG,JBIO,RLYB"
-0.808605,6.00813,0.02,0.02,0.01,0.01,RANDOM,2653,27,"PIII,QURE,COLL,GMGI,PSNY,ICON,LVO,GERN,CGON,OCGN,RXT,ECPG,FISV,KLTR,BDCI,BMEA,GNTA,CRMD,CCBG,HOLO,NOMA,RCKT,OBA,PAYO,LAMR,PPIH,KG,LONA,ERAS,GDHG"
-0.773476,5.77538,0.0,0.05,0.02,0.02,RANDOM,2653,15,"ACHV,INDB,INMB,PPTA,CDIO,HURA,AVXL,GMGI,EZGO,KMDA,MMYT,ESLA,AKBA,ESEA,ALTO,MAYS,NOVT,GRVY,RCMT,LCCC,IFBD,CDZI,MZTI,ICHR,QNST,LUNR,IONR,RANG,ETON,SDOT"
-0.767108,5.761128,0.03,0.02,0.02,0.01,RANDOM,2653,27,"LOAN,EDAP,HURA,PLTK,ASLE,CWBC,GMGI,CXDO,ONMD,CTRN,BDMD,GRPN,GH,HHS,PFIS,LE,CVLT,AXG,AXTI,CBIO,RDI,CRWV,BOF,PSIX,AKAM,LRE,GSHR,CBC,FULC,OSS"
-0.754694,5.710444,0.02,0.03,0.01,0.01,RANDOM,2653,8,"CAPS,PLMK,HURA,CLDX,GMGI,CURI,CCSI,GEHC,CLMT,PSNY,FACT,LKFN,CMMB,DH,BAFN,ADPT,BATRA,SIBN,CORT,LLYVK,INNV,ESOA,EGHA,CMCSA,EVCM,BOF,GRI,NVAX,EMIS,OXLC"
-0.74588,5.708242,0.22,0.03,0.02,0.02,RANDOM,2653,18,"GLOO,HURA,MDCX,GMGI,DERM,ATHE,FCNCA,RDWR,DLTH,CBUS,MBOT,PCB,CMMB,HOPE,AEHR,ERIE,IPOD,NAVN,MIDD,CCCC,OCSL,CLPS,ARVN,OXBR,JOUT,INTG,OPAL,IROQ,DSGR,LNSR"
-0.705424,5.7076,0.06,0.01,0.01,0.01,RANDOM,2653,23,"INDI,PLMK,CCD,SATS,GMGI,CNXN,CSGP,BNTX,IMUX,NMRA,FVCB,MBIO,CISO,EGAN,SEV,LAFAU,ATOM,FIEE,BUSE,ABUS,ADGM,ACOG,FIVE,BTAI,PCYO,CPSS,ARWR,KRT,INTS,KMRK"
-0.705351,5.692392,0.09,0.03,0.02,0.01,RANDOM,2653,12,"NHTC,CFFI,IBRX,UFG,GMGI,ELTX,ORLY,AMKR,CMPX,LITE,IIIV,AVPT,BDCI,PMN,ADTN,NWTG,AAON,ALPS,RDAG,GPAC,CCAP,MCRI,AXTI,DGII,CRESY,NRSN,GSUN,AMBR,OSW,KTCC"
