N,method,seed,HV,IGD,ND_size
884,NSGA2,0,291.5995244418938,0.036921613,300
884,NSGA2,1,279.75132709456375,0.07939132,300
884,NSGA2,2,272.8468636367952,0.19291355,300
884,NSGA2,3,282.0067360786361,0.0930085,300
884,NSGA2,4,288.1720719310433,0.037665486,300
884,NSGA2,5,273.39898915405684,0.16889961,300
884,NSGA2,6,269.00986142786314,0.25750738,300
884,NSGA2,7,296.64120729749084,0.009639639,300
884,NSGA2,8,279.98113295372195,0.09324286,300
884,NSGA2,9,261.9003538562947,0.38901693,300
884,NSGA2,10,287.43899026203144,0.046809636,300
884,NSGA2,11,288.3606396238538,0.03986196,300
884,NSGA2,12,276.06023641403044,0.12983203,300
884,NSGA2,13,281.6365225493337,0.088828415,296
884,NSGA2,14,285.85411335899573,0.059199065,300
884,NSGA2,15,273.83198754730984,0.16903168,300
884,NSGA2,16,279.15055873437973,0.12605308,300
884,NSGA2,17,285.43837250236584,0.06325388,300
884,NSGA2,18,285.11982333358173,0.06085069,300
884,NSGA2,19,291.7030990666026,0.03302859,300
884,NSGA2,20,288.60570304550333,0.030696662,300
884,NSGA2,21,276.96864704693144,0.11909903,300
884,NSGA2,22,277.4389814443859,0.11183503,295
884,NSGA2,23,276.3333223275122,0.14270072,300
884,NSGA2,24,271.2002940093744,0.18916231,300
884,NSGA2,25,283.1599391235977,0.05769214,300
884,NSGA2,26,280.374619149974,0.09141002,300
884,NSGA2,27,276.74540796751126,0.12024927,300
884,NSGA2,28,285.2569634557731,0.057437178,300
884,NSGA2,29,274.63231273023456,0.14283268,300
884,RANDOM,0,66.49140497915687,11.758633,32
884,RANDOM,1,65.30229977809358,11.578704,48
884,RANDOM,2,62.19433458158164,12.768767,36
884,RANDOM,3,69.38028585181746,11.535323,40
884,RANDOM,4,67.27921289730875,12.552504,39
884,RANDOM,5,65.99527802353259,12.248685,43
884,RANDOM,6,62.61418134876294,12.539601,38
884,RANDOM,7,64.84608273322374,12.037549,40
884,RANDOM,8,63.07980755722383,12.442535,42
884,RANDOM,9,72.29048098970088,11.981641,25
884,RANDOM,10,64.90833524917252,11.913267,41
884,RANDOM,11,68.28537700200104,11.317006,39
884,RANDOM,12,67.80229961725126,12.577953,32
884,RANDOM,13,70.86419849397043,12.1872835,32
884,RANDOM,14,69.06829801882122,12.190985,32
884,RANDOM,15,61.44914104365307,12.816131,31
884,RANDOM,16,71.09387004669406,12.150488,30
884,RANDOM,17,64.49317003617762,12.311535,37
884,RANDOM,18,62.656426927693246,12.505126,33
884,RANDOM,19,64.95250966073945,12.3010645,35
884,RANDOM,20,66.20522889473796,12.697076,38
884,RANDOM,21,67.6659802487411,11.707529,34
884,RANDOM,22,63.77233811831684,12.405707,42
884,RANDOM,23,66.01776572551535,11.794327,38
884,RANDOM,24,60.94123035619123,12.254835,27
884,RANDOM,25,61.48578412446659,12.832193,31
884,RANDOM,26,65.69434339576401,12.261351,39
884,RANDOM,27,66.82834365573945,12.084052,36
884,RANDOM,28,59.05114747174133,12.770249,36
884,RANDOM,29,64.40101227807281,12.014734,44
1768,NSGA2,0,451.0151135469787,0.043102793,300
1768,NSGA2,1,452.6462646561506,0.020868627,300
1768,NSGA2,2,421.6696778413934,0.4263523,300
1768,NSGA2,3,435.309711500151,0.17630474,300
1768,NSGA2,4,409.6544560589,0.673495,299
1768,NSGA2,5,449.67565349454526,0.040013593,300
1768,NSGA2,6,442.1872284335004,0.12868585,300
1768,NSGA2,7,418.6599369285832,0.4437173,300
1768,NSGA2,8,430.9201008050004,0.24496654,299
1768,NSGA2,9,428.98267120418336,0.26971197,300
1768,NSGA2,10,418.3891396266008,0.5900115,299
1768,NSGA2,11,439.9063895573818,0.120112956,300
1768,NSGA2,12,435.3012224808026,0.18830618,300
1768,NSGA2,13,439.6036857765275,0.19367278,300
1768,NSGA2,14,451.1531511829221,0.043321315,300
1768,NSGA2,15,436.04953267433484,0.17661771,300
1768,NSGA2,16,451.20425947386684,0.036263745,261
1768,NSGA2,17,450.71183315865346,0.048838712,300
1768,NSGA2,18,424.84006755737573,0.35803676,300
1768,NSGA2,19,442.52697086260196,0.13824739,299
1768,NSGA2,20,441.3699337887956,0.117688075,300
1768,NSGA2,21,430.00506770090124,0.23313667,300
1768,NSGA2,22,454.52154980384967,0.018319774,300
1768,NSGA2,23,408.2283023778,0.6898342,300
1768,NSGA2,24,444.9115740728521,0.09748435,300
1768,NSGA2,25,436.09847001090566,0.18665792,300
1768,NSGA2,26,447.9270048813687,0.073374644,300
1768,NSGA2,27,409.898101616694,0.74591535,300
1768,NSGA2,28,444.4468965671249,0.09418771,296
1768,NSGA2,29,416.69868281329036,0.5820045,300
1768,RANDOM,0,71.3850175266416,21.645388,26
1768,RANDOM,1,82.25090015475871,19.52823,38
1768,RANDOM,2,79.04419307759963,19.449045,26
1768,RANDOM,3,75.0206368547806,20.265799,44
1768,RANDOM,4,67.74198826641077,21.135656,35
1768,RANDOM,5,71.14946339075686,20.885832,35
1768,RANDOM,6,74.38194910137827,20.138926,34
1768,RANDOM,7,77.65919330800989,19.091509,41
1768,RANDOM,8,73.90411363562453,21.071495,38
1768,RANDOM,9,80.32897310412682,20.321728,29
1768,RANDOM,10,76.60136667959159,21.026485,41
1768,RANDOM,11,76.31210433380329,21.2445,33
1768,RANDOM,12,82.28163272362667,21.115728,29
1768,RANDOM,13,72.1146192129745,21.12988,31
1768,RANDOM,14,86.09253615071066,18.029715,29
1768,RANDOM,15,74.52235677014687,19.787374,54
1768,RANDOM,16,84.55123008895316,19.974403,25
1768,RANDOM,17,74.60950765031521,20.687693,39
1768,RANDOM,18,76.43982470268384,19.57212,32
1768,RANDOM,19,71.91204449051293,20.857908,30
1768,RANDOM,20,72.76729146941216,21.143236,34
1768,RANDOM,21,77.53652751354093,20.877039,47
1768,RANDOM,22,73.59540842304705,21.122557,27
1768,RANDOM,23,77.88142723170313,19.732231,40
1768,RANDOM,24,74.19098843838947,20.897766,40
1768,RANDOM,25,71.50065057165921,20.408333,42
1768,RANDOM,26,70.90991405875684,21.16641,38
1768,RANDOM,27,74.4388214884384,21.22979,35
1768,RANDOM,28,78.85824873473757,20.225883,42
1768,RANDOM,29,68.93624746557816,21.131119,44
2653,NSGA2,0,477.0204009728077,0.27211362,289
2653,NSGA2,1,469.7207437344558,0.42511955,297
2653,NSGA2,2,495.70817691764387,0.09110127,300
2653,NSGA2,3,478.52537383714116,0.23281737,300
2653,NSGA2,4,495.37076351276374,0.108456045,300
2653,NSGA2,5,474.3687720281123,0.32467437,300
2653,NSGA2,6,466.21576409491536,0.4621269,300
2653,NSGA2,7,469.7338777579462,0.39399487,300
2653,NSGA2,8,494.326071739546,0.097791344,294
2653,NSGA2,9,503.64430266369527,0.022961903,299
2653,NSGA2,10,481.9215064572338,0.21793704,299
2653,NSGA2,11,472.17545936021634,0.37280217,300
2653,NSGA2,12,458.015482931881,0.65145993,299
2653,NSGA2,13,477.94574248321805,0.29977155,300
2653,NSGA2,14,490.358347417643,0.12698223,300
2653,NSGA2,15,485.08969583551516,0.19362406,300
2653,NSGA2,16,480.4977270925774,0.21354774,299
2653,NSGA2,17,498.94930139908683,0.080323055,300
2653,NSGA2,18,464.1927610870098,0.5465925,300
2653,NSGA2,19,472.97135318657456,0.35811633,300
