file_name,method,N,seed,total_points,left_points,right_points,max_gap,median_gap,gap_ratio,did_split
front_2obj_NSGA2_N884_seed0,NSGA2,884,0,300,238,62,4.976785000000002,0.002576999999999996,1931.232052774548,True
front_2obj_RANDOM_N884_seed0,RANDOM,884,0,41,24,17,5.061819,0.009582499999999855,528.2357422384634,True
front_2obj_NSGA2_N884_seed1,NSGA2,884,1,300,237,63,4.9859290000000005,0.0026629999999999987,1872.297784453625,True
front_2obj_RANDOM_N884_seed1,RANDOM,884,1,34,20,14,5.1181540000000005,0.007525000000000004,680.1533554817273,True
front_2obj_NSGA2_N884_seed2,NSGA2,884,2,300,237,63,4.983729,0.0025199999999999667,1977.6702380952643,True
front_2obj_RANDOM_N884_seed2,RANDOM,884,2,40,27,13,5.118476,0.007265000000000299,704.5390227116021,True
front_2obj_NSGA2_N884_seed3,NSGA2,884,3,300,231,69,4.991373000000002,0.0026919999999999167,1854.1504457652884,True
front_2obj_RANDOM_N884_seed3,RANDOM,884,3,44,30,14,5.1752009999999995,0.004623000000000488,1119.4464633353782,True
front_2obj_NSGA2_N884_seed4,NSGA2,884,4,300,232,68,4.969356,0.002835,1752.8592592592595,True
front_2obj_RANDOM_N884_seed4,RANDOM,884,4,43,29,14,5.107868,0.007834,652.0127648710748,True
front_2obj_NSGA2_N884_seed5,NSGA2,884,5,300,233,67,4.947115000000001,0.0029000000000000137,1705.9017241379233,True
front_2obj_RANDOM_N884_seed5,RANDOM,884,5,37,22,15,5.114743000000001,0.007365499999999997,694.4189803815087,True
front_2obj_NSGA2_N884_seed6,NSGA2,884,6,300,232,68,4.956860000000002,0.0025370000000000115,1953.8273551438624,True
front_2obj_RANDOM_N884_seed6,RANDOM,884,6,35,24,11,5.09921,0.007699000000000098,662.3210806598175,True
front_2obj_NSGA2_N884_seed7,NSGA2,884,7,300,229,71,4.984618000000001,0.002593999999999985,1921.5952197378679,True
front_2obj_RANDOM_N884_seed7,RANDOM,884,7,50,37,13,5.1209880000000005,0.0037900000000000017,1351.184168865435,True
front_2obj_NSGA2_N884_seed8,NSGA2,884,8,300,232,68,4.9796840000000016,0.0028000000000000247,1778.4585714285563,True
front_2obj_RANDOM_N884_seed8,RANDOM,884,8,35,27,8,5.076936,0.006274999999999999,809.0734661354583,True
front_2obj_NSGA2_N884_seed9,NSGA2,884,9,300,241,59,4.903469000000002,0.002354999999999996,2082.1524416135926,True
front_2obj_RANDOM_N884_seed9,RANDOM,884,9,41,22,19,5.104907,0.004481999999999875,1138.9796965640658,True
front_2obj_NSGA2_N884_seed10,NSGA2,884,10,300,242,58,4.994294000000001,0.0022509999999999995,2218.700133274101,True
front_2obj_RANDOM_N884_seed10,RANDOM,884,10,44,27,17,5.127317000000001,0.00588500000000014,871.2518266779742,True
front_2obj_NSGA2_N884_seed11,NSGA2,884,11,300,240,60,4.968115,0.002930999999999906,1695.0238826339678,True
front_2obj_RANDOM_N884_seed11,RANDOM,884,11,43,28,15,5.150627999999999,0.007764999999999994,663.313329040567,True
front_2obj_NSGA2_N884_seed12,NSGA2,884,12,300,238,62,4.875869000000002,0.0027409999999999934,1778.865012769067,True
front_2obj_RANDOM_N884_seed12,RANDOM,884,12,32,22,10,5.133826,0.00909,564.7773377337734,True
front_2obj_NSGA2_N884_seed13,NSGA2,884,13,300,235,65,4.934382000000002,0.0026899999999999147,1834.342750929427,True
front_2obj_RANDOM_N884_seed13,RANDOM,884,13,41,26,15,5.085436,0.004220500000000087,1204.936855822745,True
front_2obj_NSGA2_N884_seed14,NSGA2,884,14,300,236,64,4.983543000000001,0.002239999999999992,2224.7959821428653,True
front_2obj_RANDOM_N884_seed14,RANDOM,884,14,37,24,13,5.4254050000000005,0.004931499999999995,1100.1530974348589,True
front_2obj_NSGA2_N884_seed15,NSGA2,884,15,300,236,64,4.9647960000000015,0.0022059999999999996,2250.5874886672723,True
front_2obj_RANDOM_N884_seed15,RANDOM,884,15,36,20,16,5.170271,0.005305999999999991,974.4197135318523,True
front_2obj_NSGA2_N884_seed16,NSGA2,884,16,300,229,71,4.970245,0.0029169999999991703,1703.8892697982221,True
front_2obj_RANDOM_N884_seed16,RANDOM,884,16,45,27,18,5.0969679999999995,0.006110499999999769,834.1327223631769,True
front_2obj_NSGA2_N884_seed17,NSGA2,884,17,300,238,62,4.966100000000002,0.0021470000000000655,2313.0414531904285,True
front_2obj_RANDOM_N884_seed17,RANDOM,884,17,36,23,13,5.1538580000000005,0.012039000000000001,428.0968518979982,True
front_2obj_NSGA2_N884_seed18,NSGA2,884,18,300,238,62,4.9821480000000005,0.0025809999999999444,1930.3169314219713,True
