file_name,method,N,seed,total_points,left_points,right_points,max_gap,median_gap,gap_ratio,did_split
all_2obj_NSGA2_N884_seed0,NSGA2,884,0,60000,60000,0,3.269363,0.0,0.0,False
all_2obj_RANDOM_N884_seed0,RANDOM,884,0,60000,57939,2061,5.061819,2.000000000002e-06,2530909.4999974687,True
all_2obj_NSGA2_N884_seed1,NSGA2,884,1,60000,60000,0,3.3097210000000006,0.0,0.0,False
all_2obj_RANDOM_N884_seed1,RANDOM,884,1,60000,58011,1989,5.055523,2.000000000002e-06,2527761.499997472,True
all_2obj_NSGA2_N884_seed2,NSGA2,884,2,60000,60000,0,3.32182,0.0,0.0,False
all_2obj_RANDOM_N884_seed2,RANDOM,884,2,60000,57960,2040,5.059421,2.000000000002e-06,2529710.49999747,True
all_2obj_NSGA2_N884_seed3,NSGA2,884,3,60000,60000,0,3.203537,0.0,0.0,False
all_2obj_RANDOM_N884_seed3,RANDOM,884,3,60000,57946,2054,5.0565999999999995,2.000000000002e-06,2528299.9999974715,True
all_2obj_NSGA2_N884_seed4,NSGA2,884,4,60000,60000,0,3.300127999999999,0.0,0.0,False
all_2obj_RANDOM_N884_seed4,RANDOM,884,4,60000,57976,2024,5.018716,2.000000000002e-06,2509357.9999974906,True
all_2obj_NSGA2_N884_seed5,NSGA2,884,5,60000,60000,0,3.2830100000000004,0.0,0.0,False
all_2obj_RANDOM_N884_seed5,RANDOM,884,5,60000,58047,1953,5.04973,2.000000000002e-06,2524864.999997475,True
all_2obj_NSGA2_N884_seed6,NSGA2,884,6,60000,60000,0,3.3700680000000007,0.0,0.0,False
all_2obj_RANDOM_N884_seed6,RANDOM,884,6,60000,57962,2038,5.068527,2.000000000002e-06,2534263.4999974654,True
all_2obj_NSGA2_N884_seed7,NSGA2,884,7,60000,60000,0,3.203257,0.0,0.0,False
all_2obj_RANDOM_N884_seed7,RANDOM,884,7,60000,57953,2047,5.019446,2.000000000002e-06,2509722.99999749,True
all_2obj_NSGA2_N884_seed8,NSGA2,884,8,60000,60000,0,3.4116860000000004,0.0,0.0,False
all_2obj_RANDOM_N884_seed8,RANDOM,884,8,60000,57966,2034,5.042718,2.000000000002e-06,2521358.9999974784,True
all_2obj_NSGA2_N884_seed9,NSGA2,884,9,60000,60000,0,3.3689199999999997,0.0,0.0,False
all_2obj_RANDOM_N884_seed9,RANDOM,884,9,60000,57955,2045,5.0119679999999995,2.000000000002e-06,2505983.9999974933,True
all_2obj_NSGA2_N884_seed10,NSGA2,884,10,60000,60000,0,3.377711,0.0,0.0,False
all_2obj_RANDOM_N884_seed10,RANDOM,884,10,60000,57877,2123,5.070485000000001,2.000000000002e-06,2535242.499997465,True
all_2obj_NSGA2_N884_seed11,NSGA2,884,11,60000,60000,0,3.3671580000000003,0.0,0.0,False
