N,method,seed,HV,IGD,ND_size
884,NSGA2,0,16.779144949711657,0.008838144,299
884,NSGA2,1,16.165323396103304,0.022780169,300
884,NSGA2,2,16.378793287563667,0.017160308,300
884,NSGA2,3,16.2359612829341,0.018282574,298
884,NSGA2,4,16.647028776080106,0.011926102,300
884,NSGA2,5,16.882872254973535,0.012567441,300
884,NSGA2,6,16.110459972306217,0.021751227,297
884,NSGA2,7,16.584303449985555,0.0060759117,300
884,NSGA2,8,16.589464581776497,0.0069345403,299
884,NSGA2,9,16.374632469248354,0.016058536,300
884,NSGA2,10,16.513778491949097,0.010481935,298
884,NSGA2,11,16.22734030194721,0.014502138,299
884,NSGA2,12,16.96333415101742,0.007262459,299
884,NSGA2,13,16.540933839278836,0.015006429,298
884,NSGA2,14,16.375508554916564,0.013229737,299
884,NSGA2,15,16.13135825631275,0.019296119,298
884,NSGA2,16,16.531523149615623,0.0066981334,298
884,NSGA2,17,16.3640040410221,0.014723443,298
884,NSGA2,18,16.35440683526076,0.016439814,300
884,NSGA2,19,16.38915691973989,0.016436381,299
884,NSGA2,20,16.261699074756507,0.020127403,299
884,NSGA2,21,16.405557828298925,0.021560604,300
884,NSGA2,22,16.887845776677068,0.01504433,300
884,NSGA2,23,16.53559855521432,0.016241435,300
884,NSGA2,24,16.19179665507363,0.012746829,298
884,NSGA2,25,16.669183501405428,0.017264968,299
884,NSGA2,26,16.529227165077828,0.013378464,300
884,NSGA2,27,16.155718845744104,0.014790931,299
884,NSGA2,28,16.1811526357842,0.022400491,300
884,NSGA2,29,16.067407117114385,0.023642397,297
884,RANDOM,0,3.9014513735931473,0.9811733,40
884,RANDOM,1,3.524349978682949,1.0159484,34
884,RANDOM,2,3.319449205395358,1.0343349,40
884,RANDOM,3,3.353936490158958,1.0290626,44
884,RANDOM,4,3.7754326255453634,0.9992298,43
884,RANDOM,5,3.5296139655947627,1.0147123,37
884,RANDOM,6,3.523340520197962,1.0184711,35
884,RANDOM,7,3.7782375527503973,0.9974416,50
884,RANDOM,8,3.628462513021077,1.0118706,35
884,RANDOM,9,3.506027419812426,1.0153903,41
884,RANDOM,10,3.687881905565064,1.0045358,44
884,RANDOM,11,3.5422873057959805,1.0162235,43
